Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,FL,48774585,2389500.00,18090920.00,28294165.00,0,227094.00,260882.00,282787.00,1084520.00,37886654.00,37122484.00,35205562.00,12523658.00,1484757.00,14059523.00,22198091.00,144283.00,176400.00,198558.00,204116.00,278468.00,37505205.00,17085994.00,79.6,16663465.00,89.1,966158,66.5,15697307.00,91,4799466.00,95,10897841,89.3,14431003.00,67.2,14102856.00,75.4,13300106.00,77.1,4111162.00,91.4,1364561.00,4893489.00,8131877.00,41076,1363691,4892597,7805998,40570,1362747,4891133,7006361,39865,215066,1974056,1900058,21982,5855653,40.6,5854460,41.5,5727049,43.1,4199765,54.8,2582828,62.8,2509868,3231459,106307,8019,17077464,84,14429171,70.9,37876914,186237,239820,4892732,8131701,1363740,40998,
05/16/2022,20,FL,48761385,2389200.00,18081220.00,28290965.00,0,227032.00,260811.00,282711.00,1084230.00,37820535.00,37058345.00,35144008.00,12490034.00,1484252.00,14031987.00,22160221.00,144075.00,176092.00,198215.00,203759.00,277721.00,37440691.00,17077588.00,79.5,16656078.00,89.1,965450,66.5,15690628.00,91,4797837.00,95,10892791,89.3,14423956.00,67.2,14096719.00,75.4,13294588.00,77.1,4109251.00,91.4,1364196.00,4891660.00,8127080.00,41020,1363326,4890768,7802104,40521,1362384,4889308,7003075,39821,215050,1973159,1899072,21970,5842544,40.5,5841368,41.4,5715143,43,4191835,54.7,2578219,62.7,2505160,3223200,106198,7986,17069060,83.9,14422125,70.9,37810799,185912,239755,4890903,8126904,1363375,40943,
05/15/2022,20,FL,48751785,2389200.00,18081220.00,28281365.00,0,226988.00,260760.00,282655.00,1084010.00,37820532.00,37058342.00,35144005.00,12490034.00,1484252.00,14031984.00,22160221.00,144075.00,176092.00,198215.00,203759.00,277721.00,37440136.00,17077235.00,79.5,16655740.00,89.1,965440,66.5,15690300.00,91,4797654.00,95,10892646,89.3,14423843.00,67.2,14096608.00,75.4,13294481.00,77.1,4109199.00,91.4,1364189.00,4891609.00,8127025.00,41020,1363319,4890717,7802051,40521,1362377,4889257,7003026,39821,215048,1973131,1899050,21970,5842499,40.5,5841323,41.4,5715102,43,4191810,54.7,2578205,62.7,2505144,3223171,106198,7986,17068707,83.9,14422012,70.9,37810796,185912,239708,4890852,8126849,1363368,40943,
05/14/2022,19,FL,48751785,2389200.00,18081220.00,28281365.00,0,226988.00,260760.00,282655.00,1084010.00,37820283.00,37058095.00,35143759.00,12489922.00,1484250.00,14031900.00,22160058.00,144075.00,176091.00,198214.00,203758.00,277718.00,37439097.00,17076712.00,79.5,16655241.00,89.1,965419,66.5,15689822.00,91,4797408.00,95,10892414,89.3,14423617.00,67.2,14096394.00,75.4,13294275.00,77.1,4109098.00,91.4,1364180.00,4891514.00,8126903.00,41020,1363310,4890622,7801941,40521,1362368,4889162,7002924,39821,215045,1973077,1899006,21970,5842397,40.5,5841221,41.4,5715003,43,4191737,54.7,2578155,62.7,2505100,3223113,106198,7986,17068185,83.9,14421786,70.9,37810547,185911,239708,4890757,8126727,1363359,40943,
05/13/2022,19,FL,48701485,2388500.00,18067620.00,28245365.00,0,226753.00,260491.00,282363.00,1082900.00,37794172.00,37032532.00,35118815.00,12475084.00,1483883.00,14020503.00,22145876.00,143910.00,175969.00,198077.00,203613.00,277388.00,37413012.00,17072996.00,79.5,16651842.00,89.1,965204,66.5,15686638.00,90.9,4796454.00,95,10890184,89.3,14420444.00,67.1,14093458.00,75.4,13291541.00,77.1,4108096.00,91.3,1363887.00,4890571.00,8125012.00,40974,1363017,4889681,7800280,40480,1362076,4888221,7001462,39782,215026,1972613,1898501,21956,5837249,40.5,5836077,41.4,5710061,43,4188220,54.7,2575916,62.7,2503043,3220116,106132,7958,17064472,83.9,14418614,70.9,37784440,185783,239461,4889814,8124836,1363066,40898,
05/12/2022,19,FL,48629785,2388200.00,18050520.00,28191065.00,0,226420.00,260108.00,281948.00,1081300.00,37768199.00,37007219.00,35094183.00,12460538.00,1483638.00,14009704.00,22131163.00,143694.00,175848.00,197942.00,203470.00,277065.00,37387042.00,17069344.00,79.5,16648529.00,89,964945,66.4,15683584.00,90.9,4795560.00,95,10888024,89.3,14417209.00,67.1,14090545.00,75.4,13288839.00,77,4107079.00,91.3,1363686.00,4889677.00,8122920.00,40926,1362816,4888788,7798498,40443,1361876,4887334,6999881,39748,215018,1972168,1897944,21949,5832296,40.5,5831139,41.4,5705315,42.9,4184892,54.7,2573840,62.7,2501158,3217141,106089,7908,17060827,83.9,14415380,70.9,37758475,185655,239108,4888920,8122744,1362865,40851,
05/11/2022,19,FL,48570085,2387100.00,18011420.00,28171565.00,0,226142.00,259788.00,281601.00,1079970.00,37742417.00,36981970.00,35069574.00,12446155.00,1483408.00,13999051.00,22116470.00,143488.00,175728.00,197807.00,203328.00,276745.00,37361273.00,17065919.00,79.5,16645323.00,89,964781,66.4,15680542.00,90.9,4794546.00,95,10885996,89.2,14413807.00,67.1,14087410.00,75.3,13285913.00,77,4105975.00,91.3,1363559.00,4888587.00,8120782.00,40879,1362689,4887698,7796621,40402,1361749,4886242,6998210,39712,215006,1971636,1897400,21933,5826762,40.4,5825613,41.4,5700018,42.9,4181188,54.6,2571386,62.6,2499088,3213771,106027,7876,17057401,83.9,14411977,70.9,37732695,185528,238815,4887830,8120605,1362738,40804,
05/10/2022,19,FL,48514785,2386200.00,17971620.00,28156965.00,0,225884.00,259492.00,281281.00,1078750.00,37727562.00,36967517.00,35055608.00,12438660.00,1483227.00,13993063.00,22107989.00,143283.00,175659.00,197729.00,203247.00,276578.00,37346287.00,17063471.00,79.4,16643085.00,89,964603,66.4,15678482.00,90.9,4793913.00,95,10884569,89.2,14411629.00,67.1,14085412.00,75.3,13284054.00,77,4105333.00,91.3,1363416.00,4887955.00,8119426.00,40832,1362546,4887068,7795438,40360,1361606,4885612,6997164,39672,214997,1971358,1897057,21921,5823641,40.4,5822501,41.3,5697077,42.9,4179212,54.6,2570201,62.6,2497969,3211848,105987,7837,17054959,83.9,14409802,70.9,37717850,185455,238543,4887199,8119250,1362595,40758,
05/09/2022,19,FL,48481085,2385300.00,17956620.00,28139165.00,0,225727.00,259312.00,281085.00,1078000.00,37669266.00,36911139.00,35001531.00,12408804.00,1482613.00,13969162.00,22074407.00,143084.00,175388.00,197428.00,202933.00,275914.00,37289612.00,17055574.00,79.4,16636064.00,89,963905,66.4,15672159.00,90.9,4792442.00,95,10879717,89.2,14404449.00,67.1,14079195.00,75.3,13278505.00,77,4103508.00,91.2,1362975.00,4886241.00,8114461.00,40772,1362105,4885354,7791428,40308,1361165,4883899,6993820,39621,214973,1970603,1896026,21906,5812035,40.3,5810915,41.3,5686378,42.8,4171988,54.5,2565872,62.5,2493745,3204642,105838,7810,17047066,83.8,14402624,70.8,37659559,185168,238377,4885485,8114286,1362154,40699,
05/08/2022,19,FL,48481085,2385300.00,17956620.00,28139165.00,0,225727.00,259312.00,281085.00,1078000.00,37669265.00,36911138.00,35001530.00,12408804.00,1482613.00,13969161.00,22074407.00,143084.00,175387.00,197428.00,202933.00,275914.00,37289087.00,17055254.00,79.4,16635752.00,89,963892,66.4,15671860.00,90.9,4792280.00,95,10879580,89.2,14404337.00,67.1,14079086.00,75.3,13278400.00,77,4103440.00,91.2,1362972.00,4886196.00,8114397.00,40772,1362102,4885309,7791367,40308,1361162,4883854,6993763,39621,214973,1970567,1895994,21906,5811992,40.3,5810872,41.3,5686336,42.8,4171959,54.6,2565854,62.5,2493729,3204615,105838,7810,17046746,83.8,14402512,70.8,37659558,185168,238377,4885440,8114222,1362151,40699,
