Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,354526.00,338064.00,304196.00,49160.00,13623.00,112072.00,228553.00,278,210415.00,257443.00,265571.00,306083.00,354435.00,154209.00,91.5,145042.00,95,15987,95.0,129055.00,95,17633.00,95,111422,95.0,139846.00,83,132978.00,95,118784.00,95,16589.00,95,11187.00,40666.00,87880.00,113,11186,40665,81014,113,11177,40648,66846,113,632,6781,9141,35,62258,44.5,62240,46.8,58637,49.4,31076,67.2,12410,74.8,22378,38429,1449,2,154177,95,139844,91.5,354492,232057,209844,40665,87879,11187,113,
05/16/2022,20,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,354515.00,338057.00,304189.00,49155.00,13622.00,112069.00,228546.00,278,210408.00,257438.00,265565.00,306052.00,354424.00,154204.00,91.5,145038.00,95,15987,95.0,129051.00,95,17630.00,95,111421,95.0,139841.00,83,132974.00,95,118780.00,95,16587.00,95,11186.00,40665.00,87877.00,113,11185,40664,81012,113,11176,40647,66844,113,632,6780,9140,35,62257,44.5,62239,46.8,58636,49.4,31076,67.2,12410,74.8,22378,38428,1449,2,154172,95,139839,91.5,354481,232049,209844,40664,87876,11186,113,
05/15/2022,20,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,354314.00,337866.00,304012.00,49084.00,13621.00,112011.00,228404.00,278,210289.00,257292.00,265411.00,305610.00,354223.00,154169.00,91.5,145007.00,95,15987,95.0,129020.00,95,17627.00,95,111393,95.0,139825.00,83,132964.00,95,118773.00,95,16584.00,95,11186.00,40662.00,87864.00,113,11185,40661,81005,113,11176,40644,66840,113,632,6777,9140,35,62214,44.5,62196,46.8,58604,49.3,31060,67.2,12402,74.8,22369,38395,1448,2,154137,95,139823,91.5,354280,231918,209844,40661,87863,11186,113,
05/14/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,353929.00,337506.00,303685.00,48998.00,13609.00,111903.00,228139.00,278,210061.00,257018.00,265125.00,305074.00,353837.00,154117.00,91.5,144966.00,95,15982,95.0,128984.00,95,17625.00,95,111359,94.9,139765.00,83,132917.00,95,118734.00,95,16580.00,95,11178.00,40653.00,87821.00,113,11177,40652,80975,113,11168,40635,66818,113,631,6777,9137,35,62086,44.4,62068,46.7,58496,49.3,31023,67.1,12391,74.7,22343,38298,1443,2,154085,95,139763,91.5,353895,231666,209844,40652,87820,11178,113,
05/13/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,353769.00,337353.00,303545.00,48954.00,13602.00,111873.00,228016.00,278,209966.00,256902.00,265003.00,304800.00,353677.00,154101.00,91.5,144954.00,95,15977,94.9,128977.00,95,17624.00,95,111353,94.9,139745.00,82.9,132900.00,95,118718.00,95,16578.00,95,11176.00,40649.00,87807.00,113,11175,40648,80964,113,11166,40631,66808,113,631,6777,9135,35,62019,44.4,62001,46.7,58437,49.2,31001,67.1,12383,74.7,22332,38247,1438,2,154069,95,139743,91.5,353735,231561,209844,40648,87806,11176,113,
05/12/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,353335.00,336936.00,303141.00,48794.00,13594.00,111707.00,227756.00,278,209708.00,256584.00,264650.00,303804.00,353242.00,154060.00,91.4,144923.00,95,15975,94.9,128948.00,95,17617.00,95,111331,94.9,139697.00,82.9,132859.00,95,118681.00,95,16567.00,95,11172.00,40635.00,87777.00,113,11171,40634,80941,113,11162,40617,66789,113,631,6774,9127,35,61907,44.3,61889,46.6,58331,49.1,30944,67,12357,74.6,22285,38186,1434,2,154028,95,139695,91.4,353301,231277,209844,40634,87776,11172,113,
05/11/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,353330.00,336934.00,303139.00,48792.00,13594.00,111707.00,227751.00,278,209705.00,256583.00,264649.00,303792.00,353210.00,154042.00,91.4,144906.00,95,15972,94.9,128934.00,95,17613.00,95,111321,94.9,139686.00,82.9,132848.00,95,118672.00,95,16566.00,95,11172.00,40631.00,87770.00,113,11171,40630,80934,113,11162,40613,66784,113,631,6774,9126,35,61904,44.3,61886,46.6,58328,49.2,30944,67,12357,74.6,22283,38185,1434,2,154010,95,139684,91.4,353296,231274,209844,40630,87769,11172,113,
05/10/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,351981.00,335669.00,301917.00,48244.00,13566.00,111170.00,226969.00,276,208904.00,255619.00,263582.00,300380.00,351861.00,153889.00,91.3,144806.00,95,15960,94.8,128846.00,95,17589.00,95,111257,94.9,139554.00,82.8,132745.00,95,118578.00,95,16541.00,95,11152.00,40598.00,87692.00,112,11151,40597,80885,112,11142,40580,66744,112,629,6762,9115,35,61630,44.2,61612,46.4,58074,49,30795,66.7,12287,74.3,22193,38009,1426,2,153857,95,139552,91.4,351947,230391,209844,40597,87691,11152,112,
05/09/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,351854.00,335551.00,301812.00,48206.00,13566.00,111139.00,226873.00,276,208829.00,255529.00,263490.00,300143.00,351733.00,153872.00,91.3,144794.00,95,15958,94.8,128836.00,95,17586.00,95,111250,94.9,139546.00,82.8,132741.00,95,118576.00,95,16541.00,95,11152.00,40597.00,87685.00,112,11151,40596,80882,112,11142,40579,66743,112,629,6762,9115,35,61597,44.1,61579,46.4,58050,49,30787,66.7,12286,74.3,22184,37985,1426,2,153840,95,139544,91.3,351820,230307,209844,40596,87684,11152,112,
05/08/2022,19,GU,320560,24100.00,85780.00,210680.00,0,190256.00,244113.00,279858.00,1995890.00,351854.00,335551.00,301812.00,48206.00,13566.00,111139.00,226873.00,276,208829.00,255529.00,263490.00,300143.00,351732.00,153871.00,91.3,144793.00,95,15958,94.8,128835.00,95,17586.00,95,111249,94.9,139546.00,82.8,132741.00,95,118576.00,95,16541.00,95,11152.00,40597.00,87685.00,112,11151,40596,80882,112,11142,40579,66743,112,629,6762,9115,35,61597,44.1,61579,46.4,58050,49,30787,66.7,12286,74.3,22184,37985,1426,2,153839,95,139544,91.3,351820,230307,209844,40596,87684,11152,112,
