Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,IA,6744355,290800.00,2605520.00,3848035.00,0,213762.00,252005.00,277748.00,1219700.00,5167193.00,5016545.00,4727386.00,1582206.00,179117.00,2059427.00,2928071.00,578,163774.00,187445.00,194685.00,286137.00,5175093.00,2147652.00,68.1,2068533.00,77.3,135515,54.7,1933018.00,79.6,550797.00,95,1382221,74.8,1959357.00,62.1,1889245.00,70.6,1766906.00,72.8,516452.00,93.4,163552.00,717712.00,1077673.00,420,163547,717690,1007592,416,163450,717470,885582,404,14609,271603,230101,139,1043360,53.3,1043204,55.2,1013331,57.4,693211,70.5,410209,79.4,473544,555585,14168,63,2147462,72.6,1959342,66.2,5167009,174595,227893,717707,1077665,163550,420,
05/16/2022,20,IA,6742755,290800.00,2604520.00,3847435.00,0,213712.00,251945.00,277682.00,1219410.00,5159492.00,5008981.00,4720030.00,1577823.00,179082.00,2055944.00,2923888.00,578,163530.00,187162.00,194382.00,285344.00,5167544.00,2147152.00,68.1,2068090.00,77.3,135466,54.7,1932624.00,79.6,550693.00,95,1381931,74.8,1958674.00,62.1,1888634.00,70.6,1766342.00,72.7,516190.00,93.4,163532.00,717471.00,1077251.00,420,163527,717449,1007242,416,163430,717229,885279,404,14609,271474,229968,139,1042331,53.2,1042175,55.2,1012408,57.3,692686,70.5,409915,79.4,473162,554946,14160,63,2146963,72.5,1958659,66.2,5159309,174334,227839,717466,1077243,163530,420,
05/15/2022,20,IA,6741855,290800.00,2604520.00,3846535.00,0,213683.00,251911.00,277645.00,1219240.00,5159491.00,5008980.00,4720029.00,1577823.00,179082.00,2055944.00,2923887.00,578,163530.00,187162.00,194382.00,285344.00,5167527.00,2147144.00,68.1,2068082.00,77.3,135466,54.7,1932616.00,79.6,550691.00,95,1381925,74.8,1958669.00,62.1,1888629.00,70.6,1766337.00,72.7,516188.00,93.4,163532.00,717466.00,1077251.00,420,163527,717444,1007242,416,163430,717224,885279,404,14609,271472,229968,139,1042330,53.2,1042174,55.2,1012407,57.3,692685,70.5,409915,79.4,473162,554945,14160,63,2146955,72.5,1958654,66.2,5159308,174334,227809,717461,1077243,163530,420,
05/14/2022,19,IA,6741855,290800.00,2604520.00,3846535.00,0,213683.00,251911.00,277645.00,1219240.00,5159485.00,5008974.00,4720023.00,1577819.00,179082.00,2055938.00,2923887.00,578,163530.00,187162.00,194381.00,285344.00,5167386.00,2147072.00,68.1,2068011.00,77.3,135466,54.7,1932545.00,79.6,550667.00,95,1381878,74.8,1958631.00,62.1,1888592.00,70.6,1766300.00,72.7,516170.00,93.3,163531.00,717437.00,1077243.00,420,163526,717415,1007235,416,163429,717195,885272,404,14609,271458,229964,139,1042314,53.2,1042158,55.2,1012393,57.3,692676,70.5,409911,79.4,473155,554936,14160,63,2146883,72.5,1958616,66.2,5159302,174334,227809,717432,1077235,163529,420,
05/13/2022,19,IA,6735655,290800.00,2602320.00,3842535.00,0,213487.00,251680.00,277390.00,1218120.00,5155319.00,5004889.00,4716051.00,1575257.00,179063.00,2054137.00,2921541.00,578,163398.00,187009.00,194218.00,284880.00,5163249.00,2146747.00,68,2067719.00,77.3,135433,54.7,1932286.00,79.6,550588.00,95,1381698,74.7,1958289.00,62.1,1888296.00,70.6,1766030.00,72.7,516062.00,93.3,163513.00,717319.00,1077037.00,420,163508,717297,1007075,416,163411,717077,885138,404,14608,271398,229917,139,1041702,53.2,1041546,55.2,1011838,57.3,692324,70.5,409699,79.4,472957,554524,14158,63,2146558,72.5,1958274,66.2,5155136,174193,227599,717314,1077029,163511,420,
05/12/2022,19,IA,6724255,290800.00,2598120.00,3835335.00,0,213125.00,251254.00,276920.00,1216060.00,5151232.00,5000903.00,4712169.00,1572718.00,179045.00,2052176.00,2919433.00,578,163268.00,186860.00,194058.00,284421.00,5159205.00,2146471.00,68,2067488.00,77.3,135406,54.7,1932082.00,79.6,550523.00,95,1381559,74.7,1957931.00,62.1,1887997.00,70.5,1765756.00,72.7,515926.00,93.3,163500.00,717181.00,1076830.00,420,163495,717159,1006927,416,163400,716940,885012,404,14608,271324,229855,139,1041123,53.2,1040968,55.1,1011309,57.3,692003,70.5,409525,79.4,472744,554160,14156,63,2146283,72.5,1957916,66.2,5151050,174055,227214,717176,1076822,163498,420,
05/11/2022,19,IA,6717955,290700.00,2593320.00,3833935.00,0,212926.00,251018.00,276661.00,1214920.00,5147191.00,4996948.00,4708327.00,1570195.00,179021.00,2050465.00,2917129.00,576,163140.00,186712.00,193900.00,283965.00,5155115.00,2146156.00,68,2067209.00,77.2,135386,54.7,1931823.00,79.6,550456.00,95,1381367,74.7,1957511.00,62,1887627.00,70.5,1765423.00,72.7,515762.00,93.3,163477.00,717040.00,1076575.00,419,163472,717018,1006721,416,163377,716799,884843,404,14608,271239,229776,139,1040520,53.2,1040366,55.1,1010763,57.3,691678,70.5,409346,79.4,472545,553760,14153,62,2145970,72.5,1957497,66.1,5147011,173919,227001,717035,1076568,163475,419,
05/10/2022,19,IA,6688955,290700.00,2588920.00,3809335.00,0,212007.00,249935.00,275466.00,1209680.00,5144774.00,4994592.00,4706050.00,1568798.00,178992.00,2049325.00,2915881.00,576,163064.00,186624.00,193806.00,283712.00,5152637.00,2145905.00,68,2066985.00,77.2,135372,54.7,1931613.00,79.5,550398.00,95,1381215,74.7,1957234.00,62,1887386.00,70.5,1765203.00,72.7,515666.00,93.3,163451.00,716947.00,1076419.00,417,163446,716925,1006601,414,163351,716706,884744,402,14607,271189,229731,139,1040104,53.1,1039950,55.1,1010390,57.2,691445,70.4,409215,79.4,472399,553496,14148,61,2145720,72.5,1957220,66.1,5144595,173837,226021,716942,1076412,163449,417,
05/09/2022,19,IA,6685455,290700.00,2587520.00,3807235.00,0,211896.00,249804.00,275322.00,1209040.00,5137214.00,4987162.00,4698837.00,1564572.00,178956.00,2045989.00,2911693.00,576,162824.00,186347.00,193509.00,282948.00,5145242.00,2145405.00,68,2066549.00,77.2,135327,54.7,1931222.00,79.5,550310.00,95,1380912,74.7,1956519.00,62,1886734.00,70.5,1764613.00,72.7,515432.00,93.2,163423.00,716685.00,1075994.00,417,163418,716663,1006239,414,163323,716444,884444,402,14604,271055,229634,139,1039115,53.1,1038961,55.1,1009507,57.2,690930,70.4,408947,79.3,472084,552828,14142,61,2145221,72.5,1956505,66.1,5137036,173582,225903,716680,1075987,163421,417,
05/08/2022,19,IA,6685455,290700.00,2587520.00,3807235.00,0,211896.00,249804.00,275322.00,1209040.00,5137214.00,4987162.00,4698837.00,1564572.00,178956.00,2045989.00,2911693.00,576,162824.00,186347.00,193509.00,282948.00,5144948.00,2145232.00,68,2066384.00,77.2,135324,54.7,1931060.00,79.5,550257.00,95,1380803,74.7,1956460.00,62,1886680.00,70.5,1764560.00,72.7,515409.00,93.2,163421.00,716666.00,1075956.00,417,163416,716644,1006206,414,163321,716425,884412,402,14604,271046,229620,139,1039077,53.1,1038923,55.1,1009471,57.2,690904,70.4,408939,79.3,472067,552807,14142,61,2145048,72.5,1956446,66.1,5137036,173582,225903,716661,1075949,163419,417,
