Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,IN,13640480,609900.00,4807300.00,8223280.00,0,202615.00,239095.00,264133.00,1256330.00,9608009.00,9357681.00,8814928.00,2786007.00,306156.00,3462970.00,5806945.00,31938.00,142717.00,164025.00,170692.00,256599.00,9620729.00,4145672.00,61.6,3999156.00,70.1,259893,48.1,3739263.00,72.4,1011720.00,93.2,2727543,66.9,3699973.00,55,3596903.00,63,3373757.00,65.3,945531.00,87.1,282041.00,1256924.00,2152424.00,8584,282008,1256855,2049498,8542,281724,1256490,1827138,8405,31151,462496,447932,3952,1710964,46.2,1706688,47.4,1652549,49,1125637,60.2,658511,69.6,665385,1022333,21555,1691,4145207,65.7,3699885,58.6,9607548,152166,216040,1256914,2152364,282024,8583,
05/16/2022,20,IN,13633880,609900.00,4802200.00,8221780.00,0,202517.00,238980.00,264005.00,1255720.00,9605551.00,9355260.00,8812623.00,2785019.00,306146.00,3462061.00,5805415.00,31929.00,142680.00,163982.00,170647.00,256508.00,9618149.00,4145274.00,61.6,3998780.00,70.1,259875,48.1,3738905.00,72.4,1011636.00,93.2,2727269,66.9,3699625.00,55,3596571.00,63,3373451.00,65.3,945427.00,87.1,282029.00,1256780.00,2152233.00,8583,281996,1256711,2049322,8542,281712,1256346,1826988,8405,31151,462421,447903,3952,1710390,46.2,1706114,47.4,1652040,49,1125322,60.2,658369,69.6,665193,1021956,21554,1687,4144809,65.6,3699537,58.6,9605090,152127,215935,1256770,2152173,282012,8582,
05/15/2022,20,IN,13630180,609900.00,4802200.00,8218080.00,0,202462.00,238915.00,263934.00,1255380.00,9602846.00,9352637.00,8810113.00,2783838.00,306123.00,3461065.00,5803745.00,31913.00,142640.00,163936.00,170598.00,256399.00,9615431.00,4144958.00,61.6,3998502.00,70.1,259850,48.1,3738652.00,72.4,1011587.00,93.2,2727065,66.9,3699295.00,54.9,3596276.00,63,3373186.00,65.3,945375.00,87.1,282010.00,1256704.00,2152000.00,8581,281977,1256635,2049124,8540,281693,1256270,1826820,8403,31150,462399,447875,3951,1709837,46.2,1705564,47.4,1651541,49,1125000,60.2,658219,69.6,665019,1021584,21551,1683,4144493,65.6,3699207,58.6,9602385,152084,215876,1256694,2151940,281993,8580,
05/14/2022,19,IN,13630180,609900.00,4802200.00,8218080.00,0,202462.00,238915.00,263934.00,1255380.00,9596473.00,9346443.00,8804100.00,2780435.00,306083.00,3458444.00,5800063.00,31883.00,142545.00,163828.00,170482.00,256086.00,9609098.00,4144251.00,61.6,3997882.00,70.1,259794,48.1,3738088.00,72.4,1011424.00,93.2,2726664,66.8,3698679.00,54.9,3595752.00,63,3372718.00,65.3,945240.00,87.1,281977.00,1256549.00,2151576.00,8577,281944,1256480,2048792,8536,281660,1256117,1826541,8400,31147,462335,447808,3950,1708532,46.2,1704260,47.4,1650309,48.9,1124156,60.1,657728,69.6,664529,1020779,21547,1677,4143787,65.6,3698591,58.6,9596012,151983,215876,1256539,2151516,281960,8576,
05/13/2022,19,IN,13609980,609700.00,4793800.00,8206480.00,0,202162.00,238561.00,263542.00,1253520.00,9590339.00,9340450.00,8798302.00,2777021.00,306048.00,3456254.00,5796173.00,31864.00,142454.00,163723.00,170370.00,255771.00,9602866.00,4143513.00,61.5,3997212.00,70.1,259731,48.1,3737481.00,72.4,1011262.00,93.1,2726219,66.8,3698020.00,54.9,3595171.00,63,3372209.00,65.3,945061.00,87,281943.00,1256359.00,2151143.00,8575,281910,1256290,2048437,8534,281626,1255927,1826257,8399,31144,462244,447723,3950,1707312,46.2,1703042,47.4,1649156,48.9,1123377,60.1,657249,69.5,664111,1019988,21540,1673,4143051,65.6,3697932,58.6,9589878,151886,215557,1256349,2151083,281926,8574,
05/12/2022,19,IN,13586080,609700.00,4788300.00,8188080.00,0,201807.00,238142.00,263080.00,1251320.00,9584378.00,9334636.00,8792686.00,2773806.00,306002.00,3453900.00,5792652.00,31824.00,142366.00,163621.00,170261.00,255475.00,9597019.00,4142877.00,61.5,3996635.00,70.1,259685,48.1,3736950.00,72.4,1011102.00,93.1,2725848,66.8,3697372.00,54.9,3594603.00,63,3371703.00,65.3,944890.00,87,281904.00,1256176.00,2150727.00,8565,281871,1256107,2048101,8524,281587,1255745,1825981,8390,31142,462160,447640,3948,1706034,46.1,1701767,47.3,1647958,48.9,1122567,60.1,656780,69.5,663646,1019193,21533,1662,4142415,65.6,3697284,58.6,9583917,151791,215178,1256166,2150667,281887,8564,
05/11/2022,19,IN,13562480,609400.00,4767800.00,8185280.00,0,201456.00,237728.00,262623.00,1249140.00,9578232.00,9328641.00,8786868.00,2770574.00,305959.00,3451509.00,5788969.00,31795.00,142275.00,163516.00,170148.00,255178.00,9590566.00,4142062.00,61.5,3995899.00,70,259649,48.1,3736250.00,72.3,1010915.00,93.1,2725335,66.8,3696517.00,54.9,3593820.00,63,3370982.00,65.3,944698.00,87,281857.00,1255895.00,2150204.00,8561,281824,1255826,2047650,8520,281540,1255464,1825592,8386,31137,462050,447563,3948,1704647,46.1,1700383,47.3,1646658,48.8,1121724,60,656305,69.5,663159,1018312,21519,1657,4141601,65.6,3696430,58.5,9577772,151694,214804,1255885,2150145,281840,8560,
05/10/2022,19,IN,13551580,609400.00,4764000.00,8178180.00,0,201294.00,237537.00,262412.00,1248140.00,9573603.00,9324132.00,8782529.00,2768125.00,305933.00,3449762.00,5786154.00,31754.00,142206.00,163437.00,170064.00,254952.00,9585790.00,4141498.00,61.5,3995395.00,70,259613,48.1,3735782.00,72.3,1010772.00,93.1,2725010,66.8,3695964.00,54.9,3593325.00,63,3370537.00,65.3,944552.00,87,281822.00,1255729.00,2149864.00,8549,281789,1255660,2047368,8508,281505,1255298,1825359,8375,31136,461966,447508,3942,1703594,46.1,1699331,47.3,1645685,48.8,1121086,60,655917,69.4,662823,1017605,21516,1650,4141038,65.6,3695877,58.5,9573144,151621,214632,1255719,2149805,281805,8548,
05/09/2022,19,IN,13540780,609400.00,4761000.00,8170380.00,0,201134.00,237348.00,262203.00,1247140.00,9571558.00,9322122.00,8780630.00,2767250.00,305927.00,3448976.00,5784905.00,31750.00,142175.00,163402.00,170027.00,254872.00,9583675.00,4141180.00,61.5,3995098.00,70,259585,48.1,3735513.00,72.3,1010696.00,93.1,2724817,66.8,3695643.00,54.9,3593019.00,63,3370266.00,65.3,944428.00,87,281814.00,1255576.00,2149704.00,8549,281781,1255507,2047223,8508,281497,1255145,1825249,8375,31136,461870,447480,3942,1703147,46.1,1698884,47.3,1645289,48.8,1120854,60,655812,69.4,662684,1017300,21514,1649,4140720,65.6,3695556,58.5,9571099,151588,214461,1255566,2149645,281797,8548,
05/08/2022,19,IN,13540780,609400.00,4761000.00,8170380.00,0,201134.00,237348.00,262203.00,1247140.00,9567945.00,9318582.00,8777230.00,2765612.00,305914.00,3447636.00,5782652.00,31743.00,142122.00,163339.00,169962.00,254721.00,9580110.00,4140770.00,61.5,3994719.00,70,259552,48.0,3735167.00,72.3,1010611.00,93.1,2724556,66.8,3695220.00,54.9,3592640.00,63,3369941.00,65.3,944341.00,87,281804.00,1255443.00,2149425.00,8548,281771,1255374,2046988,8507,281488,1255012,1825067,8374,31134,461823,447442,3942,1702393,46.1,1698131,47.3,1644591,48.8,1120378,60,655587,69.4,662431,1016803,21511,1648,4140311,65.6,3695133,58.5,9567486,151531,214461,1255433,2149366,281787,8547,
