Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,LA,8346150,325200.00,3415780.00,4605170.00,0,179534.00,212732.00,234366.00,1126300.00,6284922.00,6161889.00,5831892.00,1793959.00,199920.00,2564299.00,3517486.00,3217.00,135195.00,157058.00,163764.00,242093.00,6251802.00,2841472.00,61.1,2769193.00,70.6,171927,47.8,2597266.00,72.9,677767.00,91.5,1919499,68.0,2491674.00,53.6,2440455.00,62.2,2298971.00,64.6,638341.00,86.1,181245.00,963056.00,1346222.00,1151,181212,963020,1295084,1139,181021,962466,1154367,1117,22456,303747,311920,218,989129,39.7,988791,40.5,970363,42.2,703175,55.3,416816,65.3,438113,537327,13601,88,2841122,65.4,2491547,57.3,6284414,144558,191984,963041,1346134,181223,1149,
05/16/2022,20,LA,8344250,325200.00,3415380.00,4603670.00,0,179493.00,212683.00,234312.00,1126050.00,6284921.00,6161888.00,5831891.00,1793959.00,199920.00,2564299.00,3517485.00,3217.00,135195.00,157058.00,163764.00,242093.00,6251627.00,2841386.00,61.1,2769110.00,70.6,171922,47.8,2597188.00,72.9,677738.00,91.5,1919450,68.0,2491630.00,53.6,2440411.00,62.2,2298930.00,64.6,638327.00,86.1,181239.00,963041.00,1346199.00,1151,181206,963006,1295060,1139,181015,962452,1154346,1117,22454,303742,311913,218,989099,39.7,988761,40.5,970337,42.2,703168,55.3,416812,65.3,438099,537311,13601,88,2841036,65.4,2491503,57.3,6284413,144558,191940,963026,1346111,181217,1149,
05/15/2022,20,LA,8344250,325200.00,3415380.00,4603670.00,0,179493.00,212683.00,234312.00,1126050.00,6282702.00,6159745.00,5829867.00,1793002.00,199914.00,2563436.00,3516135.00,3217.00,135147.00,157003.00,163707.00,241963.00,6249427.00,2841118.00,61.1,2768875.00,70.6,171892,47.8,2596983.00,72.9,677695.00,91.5,1919288,68.0,2491382.00,53.6,2440204.00,62.2,2298769.00,64.6,638302.00,86.1,181237.00,962964.00,1346030.00,1151,181204,962929,1294932,1139,181013,962375,1154264,1117,22454,303726,311904,218,988601,39.7,988263,40.5,969882,42.2,702902,55.2,416679,65.3,437901,537015,13597,88,2840769,65.3,2491255,57.3,6282195,144507,191940,962949,1345942,181215,1149,
05/14/2022,19,LA,8344250,325200.00,3415380.00,4603670.00,0,179493.00,212683.00,234312.00,1126050.00,6278216.00,6155379.00,5825628.00,1790751.00,199888.00,2561508.00,3513609.00,3211.00,135050.00,156892.00,163588.00,241660.00,6244997.00,2840665.00,61.1,2768476.00,70.6,171848,47.8,2596628.00,72.9,677638.00,91.4,1918990,68.0,2490918.00,53.6,2439808.00,62.2,2298424.00,64.5,638228.00,86.1,181220.00,962819.00,1345730.00,1149,181187,962785,1294699,1137,180996,962232,1154081,1115,22454,303694,311863,217,987782,39.7,987446,40.5,969099,42.2,702410,55.2,416411,65.2,437539,536560,13595,88,2840316,65.3,2490791,57.3,6277709,144404,191940,962804,1345642,181198,1147,
05/13/2022,19,LA,8337850,325200.00,3414580.00,4598070.00,0,179355.00,212520.00,234133.00,1125180.00,6273892.00,6151198.00,5821589.00,1788424.00,199868.00,2559701.00,3511112.00,3211.00,134957.00,156786.00,163474.00,241346.00,6240632.00,2840171.00,61.1,2768063.00,70.6,171815,47.8,2596248.00,72.9,677575.00,91.4,1918673,68.0,2490410.00,53.6,2439365.00,62.2,2298037.00,64.5,638136.00,86.1,181201.00,962663.00,1345397.00,1149,181168,962629,1294431,1137,180977,962076,1153869,1115,22454,303640,311825,217,986992,39.6,986658,40.4,968369,42.1,701940,55.2,416125,65.2,437214,536099,13591,88,2839823,65.3,2490285,57.3,6273389,144305,191793,962648,1345311,181179,1147,
05/12/2022,19,LA,8325550,325200.00,3410580.00,4589770.00,0,179091.00,212207.00,233787.00,1123520.00,6269644.00,6147099.00,5817624.00,1786267.00,199836.00,2557968.00,3508630.00,3210.00,134866.00,156681.00,163363.00,241055.00,6236348.00,2839659.00,61.1,2767619.00,70.5,171779,47.8,2595840.00,72.9,677507.00,91.4,1918333,68.0,2489913.00,53.6,2438945.00,62.2,2297676.00,64.5,638067.00,86.1,181177.00,962526.00,1345061.00,1149,181144,962492,1294172,1137,180954,961939,1153668,1115,22455,303597,311798,217,986054,39.6,985727,40.4,967482,42.1,701411,55.1,415831,65.2,436834,535551,13581,88,2839317,65.3,2489792,57.3,6269155,144207,191510,962511,1344979,181155,1147,
05/11/2022,19,LA,8310750,325200.00,3397080.00,4588470.00,0,178772.00,211830.00,233372.00,1121530.00,6265656.00,6143228.00,5813903.00,1784077.00,199806.00,2556257.00,3506406.00,3187.00,134780.00,156582.00,163259.00,240759.00,6232279.00,2839204.00,61.1,2767220.00,70.5,171738,47.8,2595482.00,72.9,677453.00,91.4,1918029,68.0,2489408.00,53.5,2438504.00,62.2,2297295.00,64.5,637993.00,86.1,181145.00,962387.00,1344738.00,1138,181112,962353,1293912,1127,180922,961800,1153468,1105,22453,303554,311770,216,985306,39.6,984980,40.4,966785,42.1,700965,55.1,415576,65.1,436518,535121,13580,87,2838862,65.3,2489287,57.3,6265167,144115,191169,962372,1344656,181123,1136,
05/10/2022,19,LA,8299650,325200.00,3395580.00,4578870.00,0,178533.00,211547.00,233060.00,1120030.00,6262975.00,6140649.00,5811433.00,1782724.00,199786.00,2555135.00,3504868.00,3186.00,134723.00,156517.00,163189.00,240576.00,6229558.00,2838794.00,61.1,2766861.00,70.5,171701,47.7,2595160.00,72.9,677402.00,91.4,1917758,68.0,2489060.00,53.5,2438203.00,62.1,2297041.00,64.5,637937.00,86.1,181127.00,962290.00,1344505.00,1138,181094,962256,1293726,1127,180904,961703,1153329,1105,22449,303524,311748,216,984776,39.6,984453,40.4,966285,42.1,700635,55.1,415391,65.1,436294,534815,13580,87,2838455,65.3,2488942,57.3,6262495,144054,190914,962275,1344426,181105,1136,
05/09/2022,19,LA,8296850,325200.00,3394180.00,4577470.00,0,178473.00,211475.00,232981.00,1119650.00,6262278.00,6139985.00,5810817.00,1782476.00,199786.00,2554889.00,3504417.00,3186.00,134708.00,156500.00,163172.00,240543.00,6228752.00,2838601.00,61.1,2766693.00,70.5,171682,47.7,2595011.00,72.9,677364.00,91.4,1917647,68.0,2488959.00,53.5,2438115.00,62.1,2296965.00,64.5,637924.00,86.1,181124.00,962267.00,1344430.00,1138,181091,962233,1293664,1127,180901,961680,1153279,1105,22449,303517,311742,216,984615,39.6,984293,40.4,966143,42.1,700556,55.1,415359,65.1,436234,534714,13580,87,2838262,65.3,2488841,57.2,6261798,144038,190850,962252,1344351,181102,1136,
05/08/2022,19,LA,8296850,325200.00,3394180.00,4577470.00,0,178473.00,211475.00,232981.00,1119650.00,6260335.00,6138123.00,5809043.00,1781602.00,199780.00,2554256.00,3503113.00,3186.00,134666.00,156452.00,163122.00,240425.00,6226822.00,2838350.00,61.1,2766492.00,70.5,171656,47.7,2594836.00,72.9,677338.00,91.4,1917498,67.9,2488727.00,53.5,2437915.00,62.1,2296798.00,64.5,637894.00,86.1,181119.00,962214.00,1344256.00,1138,181086,962180,1293522,1127,180896,961627,1153170,1105,22448,303501,311729,216,984224,39.5,983902,40.4,965781,42,700332,55.1,415232,65.1,436073,534484,13580,87,2838011,65.3,2488609,57.2,6259855,143993,190850,962199,1344177,181097,1136,
