Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,ME,3476750,154100.00,1370020.00,1952630.00,0,258646.00,293412.00,317404.00,1218780.00,2892110.00,2803818.00,2649397.00,908069.00,143851.00,1186823.00,1557736.00,3700.00,215153.00,236622.00,241872.00,318325.00,2906166.00,1221731.00,90.9,1175386.00,95,68330,95.0,1107056.00,95,333095.00,95,773961,95.0,1073716.00,79.9,1032157.00,87.1,969965.00,88.6,288624.00,95,131956.00,387461.00,553425.00,874,131934,387440,511920,863,131874,387372,449941,778,24664,132682,130969,309,604286,56.3,604184,58.5,582102,60,396364,70.5,226008,78.3,275484,317284,10885,633,1221559,95,1073682,83.8,2891921,225812,271478,387454,553417,131937,874,
05/16/2022,20,ME,3475850,154100.00,1370020.00,1951730.00,0,258579.00,293337.00,317322.00,1218460.00,2885836.00,2797613.00,2643314.00,904370.00,143837.00,1183761.00,1554550.00,3688.00,214686.00,236098.00,241317.00,317028.00,2899901.00,1221236.00,90.9,1174930.00,95,68307,95.0,1106623.00,95,332896.00,95,773727,95.0,1073277.00,79.8,1031748.00,87.1,969576.00,88.5,288419.00,95,131944.00,387266.00,553195.00,872,131922,387245,511720,861,131862,387177,449761,776,24664,132566,130883,306,603369,56.2,603267,58.5,581264,60,395757,70.5,225606,78.2,275116,316739,10882,632,1221064,95,1073243,83.8,2885647,225322,271408,387259,553187,131925,872,
05/15/2022,20,ME,3475050,154100.00,1370020.00,1950930.00,0,258519.00,293269.00,317249.00,1218180.00,2885549.00,2797327.00,2643033.00,904197.00,143837.00,1183605.00,1554419.00,3688.00,214665.00,236074.00,241291.00,316967.00,2899601.00,1221032.00,90.8,1174727.00,95,68303,95.0,1106424.00,95,332778.00,95,773646,95.0,1073199.00,79.8,1031670.00,87.1,969498.00,88.5,288365.00,95,131944.00,387223.00,553160.00,872,131922,387202,511685,861,131862,387134,449726,776,24664,132540,130855,306,603356,56.2,603254,58.5,581252,60,395748,70.5,225599,78.2,275110,316732,10882,632,1220860,95,1073165,83.8,2885360,225300,271345,387216,553152,131925,872,
05/14/2022,19,ME,3475050,154100.00,1370020.00,1950930.00,0,258519.00,293269.00,317249.00,1218180.00,2885156.00,2796934.00,2642641.00,903922.00,143836.00,1183284.00,1554348.00,3688.00,214635.00,236041.00,241256.00,316871.00,2899185.00,1220787.00,90.8,1174482.00,95,68301,95.0,1106181.00,95,332618.00,95,773563,95.0,1073098.00,79.8,1031569.00,87.1,969397.00,88.5,288288.00,95,131942.00,387138.00,553146.00,872,131920,387117,511671,861,131860,387049,449712,776,24664,132474,130844,306,603334,56.2,603232,58.5,581230,60,395729,70.5,225589,78.3,275090,316730,10882,632,1220615,95,1073064,83.8,2884967,225269,271345,387131,553138,131923,872,
05/13/2022,19,ME,3468350,154000.00,1368820.00,1945530.00,0,258021.00,292704.00,316637.00,1215830.00,2881540.00,2793375.00,2639142.00,901712.00,143819.00,1181490.00,1552548.00,3683.00,214366.00,235741.00,240936.00,316096.00,2895591.00,1220341.00,90.8,1174072.00,95,68289,94.9,1105783.00,95,332399.00,95,773384,94.9,1072797.00,79.8,1031287.00,87,969124.00,88.5,288136.00,95,131928.00,387000.00,553000.00,869,131906,386979,511544,858,131846,386911,449594,773,24664,132378,130788,306,602781,56.2,602681,58.4,580713,59.9,395347,70.4,225337,78.2,274852,316419,10880,630,1220169,95,1072763,83.8,2881351,224987,270822,386993,552992,131909,869,
05/12/2022,19,ME,3457350,154000.00,1367920.00,1935430.00,0,257203.00,291775.00,315633.00,1211980.00,2877363.00,2789246.00,2635097.00,899054.00,143804.00,1179509.00,1550377.00,3673.00,214056.00,235392.00,240567.00,315164.00,2891487.00,1219905.00,90.8,1173658.00,95,68274,94.9,1105384.00,95,332184.00,95,773200,94.9,1072464.00,79.8,1030981.00,87,968835.00,88.4,287969.00,95,131920.00,386835.00,552843.00,866,131898,386814,511414,855,131838,386746,449480,771,24663,132273,130729,304,602133,56.1,602033,58.4,580113,59.9,394905,70.4,225038,78.1,274600,316031,10874,628,1219733,95,1072430,83.7,2877174,224661,269963,386828,552835,131901,866,
05/11/2022,19,ME,3445350,154000.00,1359620.00,1931730.00,0,256310.00,290763.00,314538.00,1207770.00,2873334.00,2785258.00,2631186.00,896607.00,143799.00,1177627.00,1548247.00,3661.00,213756.00,235056.00,240210.00,314307.00,2887399.00,1219446.00,90.7,1173207.00,95,68263,94.9,1104944.00,95,331941.00,95,773003,94.9,1072089.00,79.8,1030633.00,87,968502.00,88.4,287785.00,95,131922.00,386655.00,552652.00,860,131900,386634,511250,849,131840,386566,449331,765,24663,132164,130658,300,601537,56.1,601438,58.4,579567,59.8,394507,70.4,224782,78.1,274370,315665,10875,627,1219275,95,1072055,83.7,2873146,224346,269026,386648,552644,131903,860,
05/10/2022,19,ME,3442450,154000.00,1358520.00,1929930.00,0,256094.00,290518.00,314273.00,1206760.00,2870881.00,2782847.00,2628852.00,895059.00,143786.00,1176438.00,1547005.00,3652.00,213574.00,234852.00,239997.00,313764.00,2884961.00,1219221.00,90.7,1173002.00,95,68250,94.9,1104752.00,95,331842.00,95,772910,94.9,1071906.00,79.7,1030468.00,87,968352.00,88.4,287709.00,95,131914.00,386583.00,552552.00,857,131892,386562,511167,847,131832,386495,449262,763,24662,132126,130622,299,601139,56.1,601041,58.3,579197,59.8,394232,70.3,224588,78.1,274201,315439,10873,626,1219050,95,1071872,83.7,2870693,224155,268800,386576,552544,131895,857,
05/09/2022,19,ME,3440250,154000.00,1357120.00,1929130.00,0,255931.00,290332.00,314072.00,1205980.00,2864870.00,2776919.00,2623035.00,891637.00,143766.00,1173447.00,1544012.00,3645.00,213126.00,234352.00,239466.00,312564.00,2878858.00,1218490.00,90.6,1172303.00,95,68223,94.9,1104080.00,95,331529.00,95,772551,94.8,1071391.00,79.7,1029999.00,86.9,967905.00,88.4,287479.00,95,131902.00,386328.00,552307.00,854,131880,386307,510968,844,131820,386240,449084,761,24660,131977,130544,298,600290,56,600193,58.3,578416,59.8,393673,70.3,224230,78,273829,314969,10866,626,1218320,95,1071357,83.7,2864683,223685,268628,386321,552299,131883,854,
05/08/2022,19,ME,3440250,154000.00,1357120.00,1929130.00,0,255931.00,290332.00,314072.00,1205980.00,2864870.00,2776919.00,2623035.00,891637.00,143766.00,1173447.00,1544012.00,3645.00,213126.00,234352.00,239466.00,312564.00,2878683.00,1218399.00,90.6,1172213.00,95,68220,94.8,1103993.00,95,331483.00,95,772510,94.8,1071316.00,79.7,1029925.00,86.9,967831.00,88.4,287432.00,95,131899.00,386312.00,552251.00,854,131877,386291,510913,844,131817,386224,449029,761,24659,131971,130504,298,600282,56,600185,58.3,578408,59.8,393666,70.3,224225,78,273824,314966,10866,626,1218229,95,1071282,83.6,2864683,223685,268628,386305,552243,131880,854,
