Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MI,21633810,944900.00,8596920.00,12091990.00,0,216623.00,251702.00,275839.00,1225430.00,16043399.00,15584246.00,14724277.00,4689417.00,467247.00,6326568.00,9247361.00,2223.00,160645.00,181318.00,187740.00,265629.00,16360666.00,6703077.00,67.1,6460959.00,75.2,393522,52.3,6067437.00,77.4,1708261.00,95,4359176,72.2,6023998.00,60.3,5810374.00,67.6,5453953.00,69.5,1562393.00,88.5,422087.00,2184994.00,3415751.00,1166,422055,2184913,3202253,1153,421743,2184146,2847019,1045,71245,782363,708164,621,3283369,54.5,3282910,56.5,3180165,58.3,2120771,68.6,1200931,76.9,1460916,1774118,48188,147,6702403,71.1,6023933,63.9,16042693,170297,229648,2184971,3415724,422073,1165,
05/16/2022,20,MI,21622610,944800.00,8592020.00,12085790.00,0,216511.00,251572.00,275696.00,1224800.00,16038600.00,15579543.00,14719761.00,4687292.00,467224.00,6324378.00,9244775.00,2223.00,160597.00,181263.00,187682.00,265509.00,16355508.00,6702521.00,67.1,6460451.00,75.2,393480,52.3,6066971.00,77.4,1708130.00,95,4358841,72.2,6023520.00,60.3,5809944.00,67.6,5453553.00,69.5,1562233.00,88.5,422070.00,2184803.00,3415481.00,1166,422038,2184722,3202031,1153,421726,2183955,2846827,1045,71245,782271,708096,621,3282497,54.5,3282041,56.5,3179415,58.3,2120338,68.6,1200698,76.9,1460592,1773577,48181,147,6701847,71.1,6023455,63.9,16037894,170246,229529,2184780,3415454,422056,1165,
05/15/2022,20,MI,21622610,944800.00,8592020.00,12085790.00,0,216511.00,251572.00,275696.00,1224800.00,16029093.00,15570184.00,14710682.00,4682652.00,467198.00,6319932.00,9239740.00,2223.00,160502.00,181154.00,187566.00,265246.00,16345877.00,6701788.00,67.1,6459805.00,75.2,393407,52.3,6066398.00,77.3,1707964.00,95,4358434,72.1,6022677.00,60.3,5809160.00,67.6,5452824.00,69.5,1561952.00,88.5,422052.00,2184438.00,3415021.00,1166,422020,2184357,3201630,1153,421708,2183591,2846480,1045,71242,782105,707984,621,3281045,54.5,3280591,56.5,3178116,58.3,2119567,68.6,1200332,76.8,1459988,1772738,48172,147,6701114,71.1,6022612,63.9,16028387,170145,229529,2184415,3414994,422038,1165,
05/14/2022,19,MI,21622610,944800.00,8592020.00,12085790.00,0,216511.00,251572.00,275696.00,1224800.00,16017392.00,15558707.00,14699432.00,4675921.00,467148.00,6314446.00,9233575.00,2223.00,160385.00,181020.00,187423.00,264865.00,16334013.00,6700891.00,67.1,6459012.00,75.1,393363,52.3,6065649.00,77.3,1707732.00,95,4357917,72.1,6021620.00,60.3,5808224.00,67.6,5451953.00,69.5,1561599.00,88.5,422011.00,2184044.00,3414399.00,1166,421979,2183963,3201129,1153,421667,2183197,2846044,1045,71238,781906,707834,621,3279317,54.5,3278863,56.5,3176503,58.3,2118523,68.6,1199714,76.8,1459259,1771744,48167,147,6700220,71.1,6021555,63.9,16016689,170021,229529,2184021,3414372,421997,1165,
05/13/2022,19,MI,21591310,944500.00,8580520.00,12066290.00,0,216197.00,251208.00,275297.00,1223030.00,16005014.00,15546560.00,14687534.00,4668678.00,467042.00,6308801.00,9226950.00,2221.00,160261.00,180879.00,187271.00,264454.00,16321297.00,6699741.00,67.1,6457986.00,75.1,393290,52.3,6064696.00,77.3,1707453.00,95,4357243,72.1,6020397.00,60.3,5807111.00,67.6,5450894.00,69.5,1561149.00,88.4,421921.00,2183570.00,3413741.00,1165,421889,2183489,3200581,1152,421577,2182723,2845549,1045,71233,781654,707641,621,3277347,54.4,3276897,56.4,3174658,58.2,2117353,68.5,1199005,76.8,1458454,1770588,48158,147,6699072,71.1,6020332,63.9,16004313,169890,229197,2183547,3413714,421907,1164,
05/12/2022,19,MI,21535910,944500.00,8570320.00,12021090.00,0,215643.00,250563.00,274590.00,1219890.00,15992798.00,15534559.00,14675788.00,4661625.00,466958.00,6303138.00,9220485.00,2217.00,160138.00,180739.00,187121.00,264055.00,16308778.00,6698645.00,67.1,6457010.00,75.1,393218,52.2,6063792.00,77.3,1707191.00,95,4356601,72.1,6019133.00,60.3,5805942.00,67.6,5449783.00,69.5,1560712.00,88.4,421837.00,2183058.00,3413076.00,1162,421805,2182977,3200011,1149,421493,2182211,2845036,1043,71232,781405,707454,621,3275402,54.4,3274953,56.4,3172841,58.2,2116158,68.5,1198268,76.8,1457632,1769468,48155,147,6697977,71.1,6019068,63.9,15992098,169760,228609,2183035,3413049,421823,1161,
05/11/2022,19,MI,21475110,942900.00,8519020.00,12013190.00,0,215034.00,249856.00,273815.00,1216440.00,15979421.00,15521429.00,14662932.00,4654007.00,466885.00,6296843.00,9213476.00,2217.00,160005.00,180587.00,186957.00,263623.00,16294726.00,6697434.00,67.1,6455904.00,75.1,393151,52.2,6062753.00,77.3,1706846.00,95,4355907,72.1,6017558.00,60.3,5804496.00,67.5,5448424.00,69.5,1560119.00,88.4,421763.00,2182424.00,3412211.00,1160,421731,2182343,3199275,1147,421419,2181578,2844386,1041,71218,781073,707208,620,3273262,54.4,3272816,56.4,3170842,58.2,2114877,68.5,1197514,76.8,1456696,1768275,48144,147,6696769,71.1,6017493,63.9,15978724,169618,227964,2182401,3412184,421749,1159,
05/10/2022,19,MI,21457610,942900.00,8510620.00,12004090.00,0,214858.00,249652.00,273592.00,1215450.00,15970350.00,15512632.00,14654410.00,4649018.00,466827.00,6292835.00,9208474.00,2214.00,159914.00,180484.00,186849.00,263341.00,16285253.00,6696476.00,67.1,6455082.00,75.1,393078,52.2,6062004.00,77.3,1706614.00,95,4355390,72.1,6016557.00,60.2,5803632.00,67.5,5447625.00,69.5,1559793.00,88.4,421706.00,2182087.00,3411606.00,1158,421674,2182006,3198807,1145,421362,2181242,2843982,1039,71212,780899,707062,620,3271681,54.4,3271237,56.4,3169406,58.2,2113950,68.5,1196977,76.7,1456086,1767318,48133,144,6695811,71.1,6016492,63.9,15969653,169522,227778,2182064,3411579,421692,1157,
05/09/2022,19,MI,21440910,942800.00,8503120.00,11994990.00,0,214691.00,249458.00,273379.00,1214510.00,15966970.00,15509321.00,14651234.00,4647534.00,466806.00,6291379.00,9206571.00,2214.00,159880.00,180446.00,186808.00,263257.00,16281565.00,6696020.00,67,6454667.00,75.1,393035,52.2,6061632.00,77.3,1706512.00,95,4355120,72.1,6016167.00,60.2,5803275.00,67.5,5447291.00,69.5,1559684.00,88.3,421686.00,2181927.00,3411396.00,1158,421654,2181846,3198630,1145,421342,2181082,2843828,1039,71210,780843,707011,620,3271042,54.4,3270598,56.4,3168843,58.2,2113630,68.5,1196810,76.7,1455826,1766939,48133,144,6695355,71.1,6016102,63.9,15966273,169486,227600,2181904,3411369,421672,1157,
05/08/2022,19,MI,21440910,942800.00,8503120.00,11994990.00,0,214691.00,249458.00,273379.00,1214510.00,15959302.00,15501821.00,14643977.00,4643703.00,466771.00,6288034.00,9202283.00,2214.00,159803.00,180359.00,186716.00,263040.00,16273770.00,6695344.00,67,6454058.00,75.1,392983,52.2,6061075.00,77.3,1706361.00,95,4354714,72.1,6015378.00,60.2,5802588.00,67.5,5446652.00,69.4,1559426.00,88.3,421657.00,2181610.00,3410954.00,1157,421625,2181529,3198290,1144,421313,2180765,2843536,1038,71206,780704,706897,619,3269880,54.4,3269436,56.3,3167823,58.2,2113047,68.5,1196543,76.7,1455404,1766204,48128,144,6694680,71.1,6015313,63.9,15958606,169404,227600,2181587,3410927,421643,1156,
05/07/2022,18,MI,21440910,942800.00,8503120.00,11994990.00,0,214691.00,249458.00,273379.00,1214510.00,15946800.00,15489611.00,14632058.00,4636752.00,466670.00,6282210.00,9195708.00,2212.00,159678.00,180216.00,186564.00,262646.00,16260975.00,6694299.00,67,6453161.00,75.1,392914,52.2,6060247.00,77.3,1706118.00,95,4354129,72.1,6014066.00,60.2,5801415.00,67.5,5445565.00,69.4,1558993.00,88.3,421576.00,2181088.00,3410246.00,1156,421544,2181008,3197720,1143,421232,2180244,2843051,1038,71196,780441,706737,619,3267924,54.3,3267484,56.3,3166005,58.1,2111898,68.4,1195896,76.7,1454611,1765052,48117,144,6693637,71.1,6014002,63.8,15946107,169272,227600,2181066,3410219,421562,1155,
05/06/2022,18,MI,21422910,942600.00,8496720.00,11983590.00,0,214511.00,249248.00,273150.00,1213490.00,15934620.00,15477656.00,14620356.00,4629849.00,466544.00,6276635.00,9189229.00,2212.00,159556.00,180077.00,186415.00,262255.00,16248465.00,6693155.00,67,6452119.00,75.1,392838,52.2,6059281.00,77.3,1705868.00,95,4353413,72.1,6012754.00,60.2,5800231.00,67.5,5444443.00,69.4,1558580.00,88.3,421464.00,2180601.00,3409535.00,1154,421432,2180521,3197137,1141,421122,2179757,2842528,1036,71193,780195,706574,618,3265938,54.3,3265498,56.3,3164136,58.1,2110770,68.4,1195272,76.7,1453813,1763881,48101,143,6692497,71,6012690,63.8,15933931,169143,227409,2180579,3409508,421450,1153,
