Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MN,12912530,504300.00,4597220.00,7811010.00,0,228961.00,270245.00,297766.00,1402950.00,10460262.00,10031713.00,9365976.00,2770639.00,357269.00,3800559.00,6297406.00,5028.00,185478.00,209952.00,215981.00,301031.00,10477927.00,4243575.00,75.2,4015664.00,84,292909,66.3,3722755.00,85.8,946963.00,95,2775792,83.1,3910291.00,69.3,3708811.00,77.6,3432438.00,79.2,889897.00,95,328680.00,1306360.00,2273446.00,1805,328660,1306296,2072078,1777,328119,1303947,1798648,1724,50644,375097,463738,418,2263457,57.9,2262712,61,2168468,63.2,1341839,75,737742,82.9,902978,1331114,28929,436,4238489,80.2,3906749,73.9,10451582,197647,244185,1306350,2269934,328665,1800,
05/16/2022,20,MN,12908130,504300.00,4596020.00,7807810.00,0,228882.00,270153.00,297664.00,1402480.00,10453385.00,10024994.00,9359485.00,2767351.00,357245.00,3797338.00,6293774.00,5028.00,185356.00,209812.00,215832.00,300674.00,10471009.00,4243046.00,75.2,4015210.00,84,292861,66.3,3722349.00,85.8,946851.00,95,2775498,83.0,3909798.00,69.3,3708379.00,77.6,3432045.00,79.1,889744.00,95,328658.00,1306207.00,2273128.00,1805,328638,1306144,2071820,1777,328097,1303797,1798427,1724,50644,375019,463663,418,2262443,57.9,2261718,61,2167614,63.2,1341363,75,737488,82.9,902565,1330517,28925,436,4237998,80.1,3906282,73.9,10444769,197518,244102,1306197,2269642,328643,1800,
05/15/2022,20,MN,12905330,504300.00,4596020.00,7805010.00,0,228833.00,270094.00,297600.00,1402170.00,10453384.00,10024993.00,9359484.00,2767350.00,357245.00,3797337.00,6293774.00,5028.00,185356.00,209812.00,215832.00,300674.00,10470970.00,4243028.00,75.2,4015192.00,84,292859,66.3,3722333.00,85.8,946847.00,95,2775486,83.0,3909790.00,69.3,3708371.00,77.6,3432037.00,79.1,889743.00,95,328658.00,1306204.00,2273123.00,1805,328638,1306141,2071815,1777,328097,1303794,1798422,1724,50644,375019,463662,418,2262437,57.9,2261712,61,2167608,63.2,1341362,75,737488,82.9,902564,1330512,28925,436,4237980,80.1,3906274,73.9,10444768,197518,244049,1306194,2269637,328643,1800,
05/14/2022,19,MN,12905330,504300.00,4596020.00,7805010.00,0,228833.00,270094.00,297600.00,1402170.00,10444044.00,10015928.00,9350648.00,2762459.00,357214.00,3793579.00,6288236.00,5015.00,185190.00,209622.00,215628.00,300143.00,10461862.00,4242454.00,75.2,4014730.00,84,292817,66.3,3721913.00,85.8,946721.00,95,2775192,83.0,3909133.00,69.3,3707851.00,77.6,3431556.00,79.1,889557.00,95,328637.00,1306010.00,2272683.00,1803,328617,1305947,2071512,1775,328076,1303600,1798158,1722,50641,374933,463566,417,2261015,57.8,2260313,61,2166345,63.1,1340644,75,737109,82.9,902021,1329639,28920,435,4237445,80.1,3905673,73.9,10435526,197343,244049,1306000,2269253,328622,1798,
05/13/2022,19,MN,12870930,504200.00,4588020.00,7778710.00,0,228223.00,269374.00,296806.00,1398430.00,10432376.00,10004495.00,9339460.00,2755538.00,357184.00,3788466.00,6281734.00,4992.00,184983.00,209383.00,215370.00,299391.00,10450291.00,4241696.00,75.2,4014063.00,84,292758,66.3,3721305.00,85.8,946513.00,95,2774792,83.0,3908370.00,69.3,3707207.00,77.6,3430959.00,79.1,889308.00,95,328611.00,1305758.00,2272206.00,1795,328591,1305695,2071154,1767,328050,1303349,1797846,1714,50641,374808,463446,413,2259352,57.8,2258671,60.9,2164837,63.1,1339719,75,736549,82.8,901379,1328626,28914,433,4236726,80.1,3904952,73.8,10423939,197124,243398,1305748,2268818,328596,1790,
05/12/2022,19,MN,12854730,504200.00,4583520.00,7767010.00,0,227936.00,269035.00,296433.00,1396670.00,10420767.00,9993148.00,9328400.00,2748986.00,357133.00,3783900.00,6274763.00,4971.00,184777.00,209145.00,215115.00,298679.00,10438666.00,4240781.00,75.2,4013259.00,84,292686,66.3,3720573.00,85.8,946277.00,95,2774296,83.0,3907463.00,69.3,3706415.00,77.6,3430225.00,79.1,888993.00,95,328563.00,1305475.00,2271635.00,1790,328543,1305412,2070697,1763,328002,1303066,1797447,1710,50637,374659,463285,412,2257663,57.8,2257012,60.9,2163332,63.1,1338819,74.9,736062,82.8,900778,1327547,28910,428,4235841,80.1,3904071,73.8,10412389,196906,243092,1305465,2268273,328548,1785,
05/11/2022,19,MN,12828530,504100.00,4561920.00,7762510.00,0,227471.00,268487.00,295829.00,1393830.00,10408971.00,9981605.00,9317083.00,2742073.00,357093.00,3779291.00,6267646.00,4941.00,184568.00,208904.00,214854.00,297928.00,10426644.00,4239990.00,75.2,4012582.00,84,292643,66.3,3719939.00,85.8,946070.00,95,2773869,83.0,3906456.00,69.3,3705528.00,77.6,3429399.00,79.1,888626.00,95,328525.00,1305134.00,2271021.00,1776,328505,1305071,2070203,1749,327964,1302725,1797014,1696,50637,374486,463094,409,2255884,57.7,2255252,60.9,2161704,63,1337802,74.9,735441,82.8,900056,1326499,28905,424,4235091,80.1,3903111,73.8,10400682,196684,242597,1305124,2267706,328510,1771,
05/10/2022,19,MN,12821630,504100.00,4558720.00,7758810.00,0,227349.00,268342.00,295669.00,1393080.00,10400202.00,9973053.00,9308759.00,2737207.00,357065.00,3775854.00,6262369.00,4914.00,184413.00,208725.00,214662.00,297399.00,10417886.00,4239314.00,75.2,4012005.00,84,292582,66.2,3719423.00,85.8,945918.00,95,2773505,83.0,3905772.00,69.3,3704939.00,77.5,3428855.00,79.1,888402.00,95,328483.00,1304929.00,2270592.00,1768,328463,1304866,2069869,1741,327922,1302520,1796725,1688,50637,374387,462971,407,2254505,57.7,2253894,60.8,2160467,63,1336994,74.9,734985,82.7,899554,1325627,28904,420,4234458,80.1,3902455,73.8,10391986,196520,242466,1304919,2267305,328468,1763,
05/09/2022,19,MN,12809830,504100.00,4555920.00,7749810.00,0,227139.00,268095.00,295397.00,1391800.00,10396928.00,9969838.00,9305647.00,2735518.00,357049.00,3774298.00,6260667.00,4914.00,184355.00,208657.00,214590.00,297216.00,10414514.00,4239055.00,75.2,4011775.00,84,292559,66.2,3719216.00,85.8,945841.00,95,2773375,83.0,3905556.00,69.3,3704744.00,77.5,3428681.00,79.1,888330.00,95,328473.00,1304857.00,2270458.00,1768,328453,1304794,2069756,1741,327912,1302449,1796632,1688,50635,374357,462931,407,2254096,57.7,2253498,60.8,2160133,63,1336804,74.8,734896,82.7,899393,1325383,28900,420,4234208,80.1,3902247,73.8,10388729,196458,242243,1304847,2267179,328458,1763,
05/08/2022,19,MN,12809830,504100.00,4555920.00,7749810.00,0,227139.00,268095.00,295397.00,1391800.00,10393095.00,9966105.00,9302020.00,2733728.00,357037.00,3772597.00,6258547.00,4914.00,184287.00,208579.00,214506.00,297021.00,10410719.00,4238801.00,75.2,4011558.00,84,292547,66.2,3719011.00,85.8,945791.00,95,2773220,83.0,3905262.00,69.2,3704501.00,77.5,3428454.00,79.1,888237.00,95,328464.00,1304764.00,2270266.00,1768,328444,1304701,2069615,1741,327903,1302357,1796506,1688,50634,374304,462892,407,2253613,57.7,2253024,60.8,2159733,63,1336619,74.8,734804,82.7,899233,1325061,28899,420,4233977,80.1,3901969,73.8,10384936,196386,242243,1304754,2267003,328449,1763,
