Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MO,11785605,429600.00,4506260.00,6849745.00,0,192028.00,225100.00,247241.00,1109720.00,9024110.00,8780980.00,8287850.00,2643926.00,252074.00,3267685.00,5502026.00,2325.00,147034.00,167713.00,173865.00,248949.00,8993910.00,4071809.00,66.3,3934650.00,75.2,243940,52.6,3690710.00,77.4,1023563.00,95,2667147,72.3,3451651.00,56.2,3345145.00,63.9,3137806.00,65.8,901133.00,84.8,238417.00,1172840.00,2039612.00,782,238385,1172816,1933213,731,238137,1172320,1726848,501,40232,410474,450248,179,1473333,42.7,1473080,44,1430578,45.6,993481,56.9,598362,66.4,602527,852982,17746,78,4071349,70.6,3451602,59.8,9023655,156407,204280,1172827,2039595,238401,779,
05/16/2022,20,MO,11783405,429600.00,4504160.00,6849645.00,0,191993.00,225058.00,247195.00,1109510.00,9011581.00,8768732.00,8276018.00,2637320.00,252030.00,3262417.00,5494809.00,2325.00,146830.00,167479.00,173616.00,248327.00,8981559.00,4070503.00,66.3,3933473.00,75.1,243833,52.6,3689640.00,77.4,1023288.00,95,2666352,72.2,3450094.00,56.2,3343732.00,63.9,3136487.00,65.8,900571.00,84.8,238383.00,1172277.00,2038652.00,782,238351,1172253,1932397,731,238104,1171757,1726125,501,40232,410193,449967,179,1471040,42.6,1470787,44,1428496,45.5,992129,56.9,597595,66.4,601643,851577,17742,78,4070044,70.5,3450045,59.8,9011127,156190,204242,1172264,2038635,238367,779,
05/15/2022,20,MO,11781605,429600.00,4504160.00,6847845.00,0,191963.00,225024.00,247157.00,1109340.00,9011580.00,8768731.00,8276017.00,2637320.00,252030.00,3262416.00,5494809.00,2325.00,146830.00,167479.00,173616.00,248327.00,8981467.00,4070449.00,66.3,3933419.00,75.1,243833,52.6,3689586.00,77.4,1023269.00,95,2666317,72.2,3450073.00,56.2,3343713.00,63.9,3136468.00,65.8,900566.00,84.8,238383.00,1172269.00,2038639.00,782,238351,1172245,1932386,731,238104,1171749,1726114,501,40232,410191,449964,179,1471030,42.6,1470777,44,1428486,45.5,992123,56.9,597593,66.4,601638,851572,17742,78,4069990,70.5,3450024,59.8,9011126,156190,204210,1172256,2038622,238367,779,
05/14/2022,19,MO,11781605,429600.00,4504160.00,6847845.00,0,191963.00,225024.00,247157.00,1109340.00,9011424.00,8768575.00,8275861.00,2637202.00,252030.00,3262378.00,5494691.00,2325.00,146827.00,167476.00,173613.00,248315.00,8981047.00,4070308.00,66.3,3933293.00,75.1,243824,52.6,3689469.00,77.4,1023226.00,95,2666243,72.2,3449974.00,56.2,3343623.00,63.9,3136389.00,65.8,900534.00,84.8,238379.00,1172232.00,2038581.00,782,238347,1172208,1932337,731,238100,1171712,1726076,501,40232,410174,449949,179,1470957,42.6,1470704,44,1428416,45.5,992073,56.9,597561,66.4,601614,851523,17742,78,4069849,70.5,3449925,59.8,9010970,156187,204210,1172219,2038564,238363,779,
05/13/2022,19,MO,11762305,429100.00,4492560.00,6840645.00,0,191649.00,224655.00,246753.00,1107520.00,9005278.00,8762562.00,8270012.00,2633744.00,251993.00,3259549.00,5491411.00,2325.00,146727.00,167361.00,173490.00,247990.00,8974646.00,4069522.00,66.3,3932600.00,75.1,243782,52.6,3688818.00,77.4,1022986.00,95,2665832,72.2,3449052.00,56.2,3342818.00,63.8,3135643.00,65.8,900216.00,84.8,238346.00,1171916.00,2038010.00,780,238314,1171892,1931881,731,238067,1171396,1725679,501,40230,410025,449782,179,1469669,42.6,1469416,44,1427196,45.5,991203,56.8,597029,66.3,601027,850833,17731,78,4069063,70.5,3449003,59.8,9004824,156080,203876,1171903,2037993,238330,777,
05/12/2022,19,MO,11750105,429100.00,4488660.00,6832345.00,0,191450.00,224422.00,246497.00,1106370.00,8999092.00,8756481.00,8264087.00,2630125.00,251959.00,3257063.00,5487746.00,2324.00,146626.00,167245.00,173366.00,247649.00,8968409.00,4068779.00,66.3,3931914.00,75.1,243729,52.5,3688185.00,77.4,1022792.00,95,2665393,72.2,3448237.00,56.2,3342068.00,63.8,3134933.00,65.8,899916.00,84.7,238326.00,1171633.00,2037499.00,779,238294,1171609,1931435,730,238047,1171113,1725273,500,40231,409889,449617,179,1468544,42.6,1468293,43.9,1426140,45.5,990475,56.8,596590,66.3,600614,850134,17718,78,4068322,70.5,3448188,59.8,8998640,155973,203664,1171620,2037482,238310,776,
05/11/2022,19,MO,11737705,429000.00,4477560.00,6831145.00,0,191248.00,224185.00,246236.00,1105210.00,8992533.00,8750032.00,8257802.00,2626336.00,251913.00,3254354.00,5483942.00,2324.00,146520.00,167122.00,173234.00,247292.00,8961708.00,4067978.00,66.3,3931166.00,75.1,243679,52.5,3687487.00,77.4,1022565.00,95,2664922,72.2,3447293.00,56.2,3341182.00,63.8,3134101.00,65.7,899587.00,84.7,238276.00,1171271.00,2036967.00,779,238244,1171247,1930961,730,237997,1170752,1724852,500,40227,409729,449452,179,1467249,42.6,1467000,43.9,1424910,45.5,989610,56.8,596045,66.3,600058,849404,17709,78,4067524,70.5,3447243,59.8,8992083,155860,203449,1171258,2036949,238260,776,
05/10/2022,19,MO,11722705,429000.00,4474260.00,6819445.00,0,191004.00,223899.00,245922.00,1103790.00,8988542.00,8746162.00,8254053.00,2623994.00,251897.00,3252453.00,5481868.00,2324.00,146455.00,167048.00,173156.00,247072.00,8957576.00,4067429.00,66.3,3930688.00,75.1,243614,52.5,3687074.00,77.3,1022426.00,95,2664648,72.2,3446706.00,56.2,3340699.00,63.8,3133655.00,65.7,899404.00,84.7,238259.00,1171043.00,2036626.00,778,238227,1171019,1930723,730,237980,1170526,1724649,500,40226,409623,449376,179,1466331,42.5,1466082,43.9,1424038,45.4,988981,56.8,595582,66.2,599581,848963,17709,78,4066976,70.5,3446656,59.7,8988093,155790,203189,1171030,2036608,238243,775,
05/09/2022,19,MO,11718205,429000.00,4472960.00,6816245.00,0,190930.00,223813.00,245827.00,1103370.00,8976946.00,8734812.00,8243139.00,2617945.00,251837.00,3247814.00,5474971.00,2324.00,146266.00,166831.00,172927.00,246502.00,8946045.00,4066035.00,66.2,3929403.00,75,243519,52.5,3685884.00,77.3,1022043.00,95,2663841,72.2,3445055.00,56.1,3339169.00,63.8,3132264.00,65.7,898789.00,84.6,238217.00,1170503.00,2035558.00,777,238185,1170479,1929776,729,237938,1169987,1723840,499,40222,409353,449036,178,1464322,42.5,1464074,43.8,1422221,45.4,987749,56.7,594928,66.2,598877,847669,17698,78,4065583,70.5,3445005,59.7,8976498,155589,203111,1170490,2035540,238201,774,
05/08/2022,19,MO,11718205,429000.00,4472960.00,6816245.00,0,190930.00,223813.00,245827.00,1103370.00,8976945.00,8734811.00,8243138.00,2617944.00,251837.00,3247813.00,5474971.00,2324.00,146266.00,166831.00,172927.00,246502.00,8945946.00,4065986.00,66.2,3929354.00,75,243519,52.5,3685835.00,77.3,1022028.00,95,2663807,72.2,3445028.00,56.1,3339143.00,63.8,3132239.00,65.7,898783.00,84.6,238214.00,1170495.00,2035542.00,777,238182,1170471,1929761,729,237935,1169979,1723826,499,40222,409351,449032,178,1464311,42.5,1464063,43.8,1422211,45.4,987741,56.7,594922,66.2,598870,847665,17698,78,4065534,70.5,3444978,59.7,8976497,155589,203111,1170482,2035524,238198,774,
