Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NJ,22396655,976400.00,8065480.00,13354775.00,0,252152.00,293982.00,322550.00,1517870.00,17398861.00,16801876.00,15635951.00,4013835.00,577355.00,6571362.00,10246538.00,3606.00,195885.00,220544.00,225185.00,272026.00,17900197.00,8053402.00,90.7,7723713.00,95,561320,95.0,7162393.00,95,1623839.00,95,5538554,95.0,6740892.00,75.9,6464430.00,84.9,5976453.00,86.1,1376202.00,93.3,517072.00,2322132.00,3899981.00,1707,516972,2322036,3623819,1603,516694,2321327,3136882,1550,93528,640341,642056,277,3225366,47.8,3224587,49.9,3088968,51.7,1860857,61.6,945533,68.7,1367889,1790373,67010,94,8051869,95,6740685,80.6,17397262,207915,267662,2322097,3899879,517011,1698,
05/16/2022,20,NJ,22381855,976400.00,8051280.00,13354175.00,0,251986.00,293788.00,322337.00,1516860.00,17387066.00,16790547.00,15625107.00,4008411.00,577240.00,6566405.00,10239823.00,3598.00,195752.00,220395.00,225029.00,271658.00,17887745.00,8051310.00,90.6,7721867.00,95,561189,95.0,7160678.00,95,1623249.00,95,5537429,95.0,6739283.00,75.9,6463041.00,84.8,5975168.00,86.1,1375673.00,93.2,516987.00,2321592.00,3899000.00,1704,516887,2321496,3623057,1601,516609,2320788,3136223,1548,93523,640068,641805,277,3222642,47.8,3221866,49.9,3086518,51.7,1859350,61.6,944717,68.7,1366865,1788700,66985,92,8049785,95,6739076,80.5,17385472,207774,267486,2321557,3898898,516926,1695,
05/15/2022,20,NJ,22373455,976400.00,8051280.00,13345775.00,0,251891.00,293678.00,322216.00,1516290.00,17380493.00,16784247.00,15619191.00,4006057.00,577215.00,6563727.00,10235953.00,3598.00,195678.00,220313.00,224943.00,271499.00,17881235.00,8050363.00,90.6,7721073.00,95,561087,95.0,7159986.00,95,1623055.00,95,5536931,95.0,6738434.00,75.9,6462307.00,84.8,5974501.00,86,1375444.00,93.2,516972.00,2321292.00,3898467.00,1703,516872,2321196,3622639,1600,516594,2320488,3135872,1547,93522,639960,641685,277,3221119,47.8,3220344,49.8,3085213,51.6,1858647,61.6,944433,68.7,1366329,1787725,66973,92,8048839,95,6738227,80.5,17378900,207695,267385,2321257,3898365,516911,1694,
05/14/2022,19,NJ,22373455,976400.00,8051280.00,13345775.00,0,251891.00,293678.00,322216.00,1516290.00,17369220.00,16773394.00,15608977.00,4001661.00,577173.00,6559019.00,10229443.00,3585.00,195551.00,220170.00,224796.00,271201.00,17870018.00,8048767.00,90.6,7719683.00,95,560922,94.9,7158761.00,95,1622731.00,95,5536030,95.0,6737044.00,75.8,6461132.00,84.8,5973447.00,86,1375025.00,93.2,516944.00,2320809.00,3897594.00,1697,516844,2320713,3621981,1594,516566,2320005,3135335,1541,93521,639741,641486,277,3218652,47.8,3217878,49.8,3083097,51.6,1857477,61.5,943920,68.6,1365442,1786159,66959,92,8047243,95,6736837,80.5,17367627,207561,267385,2320774,3897492,516883,1688,
05/13/2022,19,NJ,22345155,974700.00,8039180.00,13331275.00,0,251573.00,293306.00,321809.00,1514380.00,17353496.00,16758397.00,15594565.00,3994626.00,576984.00,6551903.00,10221028.00,3581.00,195374.00,219973.00,224589.00,270724.00,17853899.00,8046169.00,90.6,7717432.00,95,560763,94.9,7156669.00,95,1622052.00,95,5534617,94.9,6734804.00,75.8,6459287.00,84.8,5971740.00,86,1374349.00,93.1,516837.00,2320085.00,3896188.00,1694,516737,2319989,3620970,1591,516459,2319282,3134461,1538,93511,639412,641149,277,3214973,47.7,3214201,49.8,3079718,51.6,1855558,61.5,942954,68.6,1363855,1784148,66879,91,8044652,95,6734597,80.5,17351908,207373,267047,2320050,3896086,516776,1685,
05/12/2022,19,NJ,22285955,974700.00,8034180.00,13277075.00,0,250906.00,292529.00,320956.00,1510360.00,17328463.00,16734051.00,15570918.00,3982417.00,576768.00,6541347.00,10206806.00,3542.00,195092.00,219654.00,224248.00,269896.00,17828943.00,8042809.00,90.5,7714411.00,95,560529,94.9,7153882.00,95,1621157.00,95,5532725,94.9,6731670.00,75.8,6456496.00,84.7,5969116.00,86,1373232.00,93.1,516718.00,2318975.00,3894299.00,1678,516618,2318879,3619420,1579,516340,2318173,3133077,1526,93504,638868,640585,275,3208937,47.7,3208171,49.7,3073985,51.5,1852297,61.4,941198,68.5,1361617,1780437,66793,90,8041301,95,6731464,80.4,17326886,207074,266339,2318940,3894198,516657,1669,
05/11/2022,19,NJ,22244955,972100.00,8001480.00,13271375.00,0,250444.00,291991.00,320366.00,1507590.00,17328417.00,16734005.00,15570872.00,3982388.00,576768.00,6541326.00,10206781.00,3542.00,195092.00,219653.00,224247.00,269895.00,17827686.00,8042293.00,90.5,7713915.00,95,560515,94.9,7153400.00,95,1620974.00,95,5532426,94.9,6731335.00,75.8,6456167.00,84.7,5968802.00,86,1373140.00,93.1,516708.00,2318849.00,3894104.00,1674,516608,2318753,3619231,1575,516330,2318047,3132903,1522,93505,638830,640532,273,3208688,47.7,3207922,49.7,3073746,51.5,1852163,61.4,941127,68.5,1361507,1780303,66788,90,8040785,95,6731130,80.4,17326840,207073,265849,2318814,3894004,516647,1665,
05/10/2022,19,NJ,22202955,972100.00,7995080.00,13235775.00,0,249972.00,291440.00,319761.00,1504740.00,17314594.00,16720547.00,15557759.00,3975629.00,576630.00,6534974.00,10199453.00,3537.00,194936.00,219477.00,224059.00,269436.00,17813403.00,8040353.00,90.5,7712130.00,95,560401,94.8,7151729.00,95,1620476.00,95,5531253,94.9,6729368.00,75.8,6454406.00,84.7,5967150.00,85.9,1372464.00,93,516592.00,2318138.00,3892968.00,1670,516492,2318042,3618301,1571,516214,2317337,3132081,1518,93500,638477,640215,272,3205646,47.6,3204883,49.7,3070847,51.5,1850565,61.4,940304,68.5,1360276,1778534,66746,90,8038847,95,6729163,80.4,17313018,206908,265348,2318103,3892868,516531,1661,
05/09/2022,19,NJ,22188655,971600.00,7983780.00,13233275.00,0,249811.00,291252.00,319555.00,1503770.00,17305284.00,16711500.00,15549098.00,3971303.00,576502.00,6531039.00,10194214.00,3529.00,194831.00,219358.00,223934.00,269143.00,17803123.00,8038676.00,90.5,7710607.00,95,560287,94.8,7150320.00,95,1620056.00,95,5530264,94.9,6727908.00,75.7,6453059.00,84.7,5965902.00,85.9,1372034.00,93,516513.00,2317641.00,3892089.00,1665,516413,2317545,3617535,1566,516135,2316840,3131413,1514,93496,638264,640004,270,3203340,47.6,3202581,49.6,3068732,51.4,1849368,61.4,939653,68.5,1359363,1777175,66712,90,8037170,95,6727703,80.4,17303708,206797,265177,2317606,3891989,516452,1656,
05/08/2022,19,NJ,22188655,971600.00,7983780.00,13233275.00,0,249811.00,291252.00,319555.00,1503770.00,17299625.00,16706057.00,15543980.00,3969358.00,576436.00,6528880.00,10190780.00,3529.00,194768.00,219286.00,223860.00,269011.00,17797352.00,8037635.00,90.5,7709703.00,95,560192,94.8,7149511.00,95,1619849.00,95,5529662,94.8,6727084.00,75.7,6452325.00,84.7,5965234.00,85.9,1371818.00,93,516463.00,2317393.00,3891563.00,1665,516363,2317297,3617099,1566,516085,2316592,3131043,1514,93491,638175,639882,270,3202001,47.6,3201242,49.6,3067566,51.4,1848774,61.3,939404,68.5,1358938,1776277,66696,90,8036130,95,6726879,80.4,17298050,206729,265177,2317358,3891463,516402,1656,
05/07/2022,18,NJ,22184555,971600.00,7983780.00,13229175.00,0,249764.00,291198.00,319496.00,1503490.00,17289586.00,16696352.00,15534765.00,3965436.00,576337.00,6524850.00,10184879.00,3520.00,194655.00,219159.00,223727.00,268746.00,17787393.00,8036347.00,90.5,7708576.00,95,560082,94.8,7148494.00,95,1619578.00,95,5528916,94.8,6725801.00,75.7,6451214.00,84.7,5964203.00,85.9,1371452.00,92.9,516419.00,2316982.00,3890738.00,1662,516319,2316886,3616446,1563,516041,2316181,3130470,1511,93488,638017,639677,270,3199732,47.6,3198975,49.6,3065594,51.4,1847726,61.3,938937,68.5,1358157,1774833,66652,90,8034843,95,6725597,80.4,17288012,206609,265128,2316947,3890639,516358,1653,
05/06/2022,18,NJ,22165955,970800.00,7974280.00,13220875.00,0,249555.00,290954.00,319228.00,1502230.00,17277291.00,16684412.00,15523195.00,3959575.00,576222.00,6519545.00,10178018.00,3506.00,194516.00,219002.00,223561.00,268348.00,17774900.00,8034624.00,90.5,7707015.00,95,559976,94.8,7147039.00,95,1619096.00,95,5527943,94.8,6724213.00,75.7,6449825.00,84.7,5962905.00,85.9,1370877.00,92.9,516351.00,2316403.00,3889804.00,1655,516251,2316307,3615710,1557,515973,2315603,3129824,1505,93480,637737,639390,270,3197076,47.5,3196321,49.6,3063115,51.4,1846298,61.3,938173,68.4,1357130,1773241,66616,89,8033124,95,6724010,80.4,17275722,206462,264905,2316368,3889705,516290,1647,
