Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,OH,23551255,987400.00,8875640.00,13688215.00,0,201480.00,235496.00,258490.00,1150910.00,18091681.00,17592119.00,16632184.00,5394399.00,630542.00,6879478.00,10559911.00,21750.00,154774.00,175909.00,182549.00,263615.00,17995278.00,7450552.00,63.7,7187696.00,71.9,440316,49.4,6747380.00,74.1,1903480.00,93,4843900,68.6,6879077.00,58.9,6648724.00,66.5,6244715.00,68.5,1800974.00,88,556040.00,2407032.00,3910449.00,5556,556025,2407000,3680162,5537,555761,2406350,3277201,5403,91777,812940,893619,2638,3598064,52.3,3597058,54.1,3488709,55.9,2369920,67.3,1372024,76.2,1520451,2016770,59842,1001,7450008,67.7,6879030,62.5,18091128,164491,214136,2407022,3910420,556032,5556,
05/16/2022,20,OH,23540955,987200.00,8870540.00,13683215.00,0,201392.00,235393.00,258377.00,1150400.00,18085961.00,17586544.00,16626910.00,5391867.00,630532.00,6877265.00,10556415.00,21749.00,154725.00,175853.00,182491.00,263491.00,17989288.00,7450010.00,63.7,7187222.00,71.9,440258,49.4,6746964.00,74.1,1903356.00,93,4843608,68.6,6878599.00,58.8,6648324.00,66.5,6244370.00,68.5,1800897.00,88,556027.00,2406912.00,3910104.00,5556,556012,2406880,3679895,5537,555748,2406230,3276989,5403,91776,812897,893586,2638,3597077,52.3,3596074,54.1,3487909,55.9,2369491,67.3,1371824,76.2,1520151,2016086,59840,1000,7449466,67.7,6878552,62.5,18085408,164439,214042,2406902,3910075,556019,5556,
05/15/2022,20,OH,23540955,987200.00,8870540.00,13683215.00,0,201392.00,235393.00,258377.00,1150400.00,18078012.00,17578737.00,16619375.00,5387682.00,630499.00,6874202.00,10551564.00,21747.00,154657.00,175775.00,182408.00,263286.00,17981346.00,7449545.00,63.7,7186817.00,71.9,440218,49.4,6746599.00,74,1903270.00,93,4843329,68.6,6878050.00,58.8,6647857.00,66.5,6243980.00,68.5,1800797.00,88,556002.00,2406764.00,3909729.00,5555,555987,2406732,3679602,5536,555723,2406082,3276773,5402,91775,812844,893540,2638,3595836,52.3,3594834,54.1,3486825,55.8,2368838,67.3,1371531,76.2,1519762,2015241,59833,1000,7449003,67.7,6878003,62.5,18077460,164366,214042,2406754,3909700,555994,5555,
05/14/2022,19,OH,23540955,987200.00,8870540.00,13683215.00,0,201392.00,235393.00,258377.00,1150400.00,18064137.00,17565127.00,16606167.00,5379883.00,630417.00,6868281.00,10543705.00,21734.00,154538.00,175639.00,182263.00,262905.00,17967624.00,7448492.00,63.7,7185878.00,71.9,440119,49.4,6745759.00,74,1903042.00,93,4842717,68.6,6877048.00,58.8,6647001.00,66.5,6243217.00,68.5,1800556.00,88,555947.00,2406450.00,3909098.00,5553,555932,2406418,3679117,5534,555668,2405768,3276381,5400,91771,812720,893428,2637,3593732,52.3,3592735,54.1,3484926,55.8,2367667,67.3,1370874,76.1,1519076,2013844,59815,997,7447950,67.7,6877001,62.5,18063585,164240,214042,2406440,3909069,555939,5553,
05/13/2022,19,OH,23521055,987200.00,8863440.00,13670415.00,0,201222.00,235194.00,258159.00,1149430.00,18049864.00,17551559.00,16593084.00,5371779.00,630330.00,6862500.00,10535319.00,21715.00,154416.00,175503.00,182120.00,262509.00,17953386.00,7447190.00,63.7,7184889.00,71.8,440015,49.4,6744874.00,74,1902754.00,93,4842120,68.6,6875651.00,58.8,6645984.00,66.5,6242309.00,68.5,1800236.00,88,555884.00,2406079.00,3908139.00,5549,555869,2406047,3678538,5530,555605,2405397,3275911,5396,91769,812549,893283,2635,3591456,52.2,3590462,54,3482905,55.8,2366407,67.2,1370098,76.1,1518308,2012352,59804,992,7446650,67.7,6875604,62.5,18049314,164110,213861,2406069,3908110,555876,5549,
05/12/2022,19,OH,23475255,987200.00,8849140.00,13638915.00,0,200830.00,234736.00,257656.00,1147190.00,18037856.00,17539854.00,16581711.00,5364911.00,630241.00,6857484.00,10528429.00,21702.00,154313.00,175386.00,181995.00,262174.00,17941430.00,7446059.00,63.7,7183923.00,71.8,439928,49.4,6743995.00,74,1902509.00,93,4841486,68.6,6874625.00,58.8,6645088.00,66.4,6241493.00,68.5,1799953.00,88,555814.00,2405778.00,3907488.00,5545,555799,2405748,3678015,5526,555535,2405099,3275466,5393,91763,812420,893136,2634,3589426,52.2,3588439,54,3481037,55.8,2365257,67.2,1369427,76.1,1517572,2011079,59785,990,7445521,67.7,6874578,62.5,18037308,164001,213445,2405768,3907459,555806,5545,
05/11/2022,19,OH,23430455,986400.00,8813240.00,13630815.00,0,200447.00,234288.00,257164.00,1145000.00,17982093.00,17484436.00,16533260.00,5350208.00,628070.00,6841214.00,10491226.00,21583.00,153836.00,174832.00,181463.00,261455.00,17887181.00,7439582.00,63.6,7177618.00,71.8,439188,49.3,6738430.00,74,1901727.00,92.9,4836703,68.5,6845768.00,58.6,6616383.00,66.2,6217885.00,68.2,1797505.00,87.8,553867.00,2399461.00,3886918.00,5522,553852,2399431,3657597,5503,553593,2398790,3260129,5373,91613,811510,891761,2621,3581506,52.3,3580529,54.1,3474100,55.9,2360809,67.2,1366839,76,1514924,2005921,59678,983,7439048,67.6,6845721,62.2,17981548,163494,213038,2399451,3886889,553859,5522,
05/10/2022,19,OH,23395755,986400.00,8805340.00,13604015.00,0,200150.00,233941.00,256784.00,1143310.00,17940171.00,17442743.00,16493655.00,5330558.00,627310.00,6834131.00,10457191.00,21539.00,153478.00,174415.00,181029.00,260495.00,17846035.00,7436368.00,63.6,7174513.00,71.7,438943,49.3,6735570.00,73.9,1901096.00,92.9,4834474,68.5,6833533.00,58.5,6604257.00,66,6207338.00,68.1,1796238.00,87.8,553206.00,2396842.00,3877977.00,5508,553191,2396812,3648765,5489,552932,2396173,3252873,5360,91567,811137,890920,2614,3565491,52.2,3564518,54,3458298,55.7,2348054,66.9,1357039,75.5,1514079,1990805,59628,979,7435836,67.6,6833486,62.1,17939628,163113,212722,2396832,3877948,553198,5508,
05/09/2022,19,OH,23378055,986300.00,8800240.00,13591515.00,0,199999.00,233764.00,256589.00,1142440.00,17935775.00,17438431.00,16489508.00,5328524.00,627275.00,6832349.00,10454613.00,21538.00,153440.00,174372.00,180983.00,260395.00,17841337.00,7435805.00,63.6,7173994.00,71.7,438907,49.3,6735087.00,73.9,1900971.00,92.9,4834116,68.5,6833115.00,58.5,6603879.00,66,6206992.00,68.1,1796148.00,87.8,553175.00,2396704.00,3877729.00,5507,553160,2396675,3648556,5488,552901,2396036,3252696,5359,91566,811090,890878,2614,3564677,52.2,3563708,54,3457585,55.7,2347631,66.9,1356806,75.5,1513824,1990249,59625,979,7435273,67.6,6833069,62.1,17935233,163073,212561,2396695,3877700,553167,5507,
05/08/2022,19,OH,23378055,986300.00,8800240.00,13591515.00,0,199999.00,233764.00,256589.00,1142440.00,17926991.00,17429783.00,16481146.00,5323786.00,627231.00,6828877.00,10449349.00,21534.00,153365.00,174286.00,180891.00,260164.00,17832607.00,7435209.00,63.6,7173453.00,71.7,438867,49.3,6734586.00,73.9,1900825.00,92.9,4833761,68.5,6832460.00,58.5,6603300.00,66,6206488.00,68.1,1796005.00,87.8,553138.00,2396526.00,3877290.00,5506,553123,2396497,3648193,5487,552864,2395858,3252408,5358,91563,811025,890803,2614,3563366,52.2,3562399,53.9,3456439,55.7,2346943,66.9,1356455,75.5,1513415,1989354,59618,979,7434678,67.6,6832414,62.1,17926450,162993,212561,2396517,3877261,553130,5506,
