Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,OR,10223885,463600.00,3857960.00,5902325.00,0,242402.00,280278.00,305084.00,1334570.00,7887055.00,7629781.00,7164107.00,2135800.00,276215.00,2949287.00,4644313.00,17240.00,186997.00,209163.00,213779.00,278796.00,7887843.00,3293016.00,78.1,3152602.00,86.4,209435,70.6,2943167.00,87.8,759136.00,95,2184031,85.5,2944743.00,69.8,2831244.00,77.6,2642717.00,78.9,700582.00,91.5,247723.00,1004852.00,1686325.00,5843,247720,1004848,1572851,5825,246860,1001886,1388471,5500,52613,316413,330044,1512,1584095,53.8,1583572,55.9,1518406,57.5,918039,68.8,538517,76.9,671273,887900,24144,778,3289840,82.5,2942666,73.8,7881735,197541,256242,1004851,1684251,247722,5842,
05/16/2022,20,OR,10220185,463600.00,3857760.00,5898825.00,0,242314.00,280176.00,304973.00,1334090.00,7885195.00,7627958.00,7162339.00,2135034.00,276196.00,2948579.00,4643196.00,17224.00,186953.00,209113.00,213726.00,278696.00,7885848.00,3292766.00,78.1,3152368.00,86.4,209424,70.6,2942944.00,87.8,759070.00,95,2183874,85.5,2944561.00,69.8,2831074.00,77.6,2642554.00,78.9,700522.00,91.4,247714.00,1004792.00,1686217.00,5838,247711,1004788,1572755,5820,246851,1001826,1388382,5495,52613,316390,330010,1509,1583785,53.8,1583270,55.9,1518141,57.4,917891,68.8,538451,76.9,671178,887692,24141,774,3289599,82.4,2942487,73.7,7879889,197495,256150,1004791,1684146,247713,5837,
05/15/2022,20,OR,10219785,463600.00,3857760.00,5898425.00,0,242305.00,280165.00,304961.00,1334040.00,7872908.00,7615939.00,7150592.00,2128788.00,276152.00,2943214.00,4636340.00,17202.00,186662.00,208783.00,213376.00,277881.00,7873852.00,3291879.00,78,3151593.00,86.4,209381,70.6,2942212.00,87.8,758823.00,95,2183389,85.5,2943744.00,69.8,2830382.00,77.6,2641927.00,78.8,700279.00,91.4,247687.00,1004541.00,1685685.00,5831,247684,1004537,1572348,5813,246824,1001576,1388039,5488,52613,316273,329884,1509,1581945,53.7,1581458,55.9,1516487,57.4,916894,68.7,537947,76.8,670465,886578,24134,768,3288753,82.4,2941704,73.7,7867678,197189,256140,1004540,1683648,247686,5830,
05/14/2022,19,OR,10219785,463600.00,3857760.00,5898425.00,0,242305.00,280165.00,304961.00,1334040.00,7872829.00,7615862.00,7150517.00,2128734.00,276151.00,2943208.00,4636268.00,17202.00,186660.00,208781.00,213373.00,277874.00,7873661.00,3291819.00,78,3151533.00,86.4,209380,70.6,2942153.00,87.8,758793.00,95,2183360,85.5,2943718.00,69.8,2830358.00,77.6,2641903.00,78.8,700267.00,91.4,247686.00,1004535.00,1685666.00,5831,247683,1004531,1572331,5813,246823,1001570,1388022,5488,52613,316268,329877,1509,1581906,53.7,1581419,55.9,1516449,57.4,916862,68.7,537923,76.8,670457,886548,24133,768,3288693,82.4,2941678,73.7,7867599,197187,256140,1004534,1683629,247685,5830,
05/13/2022,19,OR,10194085,463600.00,3848160.00,5882325.00,0,241696.00,279461.00,304194.00,1330680.00,7865531.00,7608752.00,7143571.00,2124575.00,276124.00,2939957.00,4632275.00,17175.00,186487.00,208586.00,213166.00,277331.00,7866378.00,3291215.00,78,3150998.00,86.4,209337,70.6,2941661.00,87.8,758619.00,95,2183042,85.5,2943095.00,69.8,2829834.00,77.6,2641408.00,78.8,700051.00,91.4,247663.00,1004331.00,1685278.00,5823,247660,1004327,1572042,5805,246800,1001366,1387761,5481,52609,316173,329763,1506,1580780,53.7,1580307,55.8,1515427,57.4,916222,68.7,537552,76.8,670020,885868,24130,762,3288116,82.4,2941089,73.7,7860362,197005,255496,1004330,1683275,247662,5822,
05/12/2022,19,OR,10180485,463600.00,3844360.00,5872525.00,0,241373.00,279088.00,303789.00,1328910.00,7858378.00,7601761.00,7136779.00,2120627.00,276083.00,2936838.00,4628302.00,17155.00,186317.00,208395.00,212963.00,276815.00,7859272.00,3290652.00,78,3150495.00,86.4,209289,70.5,2941206.00,87.8,758463.00,95,2182743,85.5,2942509.00,69.8,2829331.00,77.6,2640953.00,78.8,699877.00,91.4,247640.00,1004159.00,1684893.00,5817,247637,1004155,1571740,5799,246777,1001195,1387504,5477,52606,316098,329668,1505,1579591,53.7,1579136,55.8,1514358,57.3,915580,68.7,537188,76.8,669545,885174,24116,756,3287577,82.4,2940525,73.7,7853255,196827,255155,1004158,1682912,247639,5816,
05/11/2022,19,OR,10153285,463200.00,3822460.00,5867625.00,0,240728.00,278342.00,302977.00,1325360.00,7851017.00,7594587.00,7129813.00,2116645.00,276058.00,2933792.00,4624027.00,17140.00,186143.00,208198.00,212756.00,276296.00,7851690.00,3290021.00,78,3149945.00,86.4,209260,70.5,2940685.00,87.8,758304.00,95,2182381,85.5,2941760.00,69.7,2828655.00,77.5,2640317.00,78.8,699598.00,91.3,247628.00,1003881.00,1684438.00,5813,247625,1003877,1571358,5795,246765,1000917,1387161,5474,52605,315953,329536,1504,1578222,53.6,1577786,55.8,1513128,57.3,914818,68.6,536736,76.7,669067,884292,24107,756,3286977,82.4,2939797,73.7,7845952,196644,254473,1003880,1682478,247627,5812,
05/10/2022,19,OR,10149785,463200.00,3821360.00,5865225.00,0,240645.00,278246.00,302872.00,1324900.00,7842279.00,7586098.00,7121585.00,2112408.00,276008.00,2930025.00,4619132.00,17114.00,185936.00,207965.00,212510.00,275742.00,7843007.00,3289185.00,78,3149203.00,86.3,209201,70.5,2940002.00,87.7,758130.00,95,2181872,85.5,2940891.00,69.7,2827902.00,77.5,2639618.00,78.8,699405.00,91.3,247588.00,1003600.00,1683896.00,5807,247585,1003596,1570932,5789,246725,1000638,1386786,5469,52605,315861,329436,1503,1576378,53.6,1575959,55.7,1511447,57.3,913777,68.6,536150,76.7,668252,883286,24093,747,3286170,82.4,2938952,73.7,7837271,196426,254385,1003599,1681960,247587,5806,
05/09/2022,19,OR,10145685,463200.00,3817260.00,5865225.00,0,240548.00,278134.00,302750.00,1324360.00,7842278.00,7586097.00,7121584.00,2112407.00,276008.00,2930024.00,4619132.00,17114.00,185936.00,207965.00,212510.00,275742.00,7842779.00,3289070.00,78,3149089.00,86.3,209198,70.5,2939891.00,87.7,758094.00,95,2181797,85.5,2940849.00,69.7,2827861.00,77.5,2639577.00,78.8,699387.00,91.3,247587.00,1003584.00,1683872.00,5806,247584,1003580,1570909,5788,246724,1000622,1386763,5468,52605,315851,329428,1503,1576340,53.6,1575921,55.7,1511411,57.3,913754,68.6,536137,76.7,668239,883261,24093,747,3286055,82.4,2938910,73.7,7837270,196426,254283,1003583,1681936,247586,5805,
05/08/2022,19,OR,10145685,463200.00,3817260.00,5865225.00,0,240548.00,278134.00,302750.00,1324360.00,7829253.00,7573357.00,7109134.00,2105626.00,275944.00,2924408.00,4611824.00,17077.00,185627.00,207616.00,212139.00,274857.00,7830045.00,3288181.00,78,3148316.00,86.3,209144,70.5,2939172.00,87.7,757844.00,95,2181328,85.4,2939948.00,69.7,2827106.00,77.5,2638878.00,78.7,699111.00,91.3,247538.00,1003313.00,1683305.00,5792,247535,1003309,1570488,5774,246676,1000353,1386395,5454,52601,315724,329290,1496,1574315,53.5,1573916,55.7,1509578,57.2,912700,68.5,535589,76.6,667494,881997,24083,741,3285210,82.3,2938059,73.6,7824339,196102,254283,1003312,1681419,247537,5791,
