Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,PR,7555350,215300.00,2664520.00,4675530.00,0,236571.00,265259.00,288266.00,1111640.00,7231113.00,6909786.00,6354387.00,1774069.00,152334.00,2741165.00,4337331.00,283.00,226418.00,242594.00,242445.00,261025.00,7239773.00,3038965.00,95,2865901.00,95,228320,95.0,2637581.00,95,696127.00,95,1941454,95.0,2658618.00,83.2,2510669.00,88.1,2305860.00,88,605356.00,89.1,139546.00,956346.00,1562607.00,119,139513,956292,1414761,103,139383,955947,1210463,67,23605,299731,282003,17,1558624,58.6,1558395,62.1,1435789,62.3,815984,68.6,423327,69.9,618908,928217,11477,22,3038508,95,2658520,86.4,7230578,235048,245606,956320,1562557,139524,119,
05/16/2022,20,PR,7552350,215000.00,2662120.00,4675230.00,0,236477.00,265154.00,288152.00,1111200.00,7211487.00,6890814.00,6335956.00,1764378.00,152258.00,2732527.00,4326419.00,283,225804.00,241928.00,241742.00,259599.00,7220218.00,3037129.00,95,2864381.00,95,228286,95.0,2636095.00,95,695389.00,95,1940706,95.0,2656709.00,83.2,2509081.00,88.1,2304345.00,87.9,604565.00,89,139500.00,955659.00,1561431.00,119,139468,955606,1413904,103,139338,955262,1209678,67,23601,299311,281636,17,1554149,58.5,1553924,61.9,1431723,62.1,813402,68.4,421855,69.8,617095,925573,11459,22,3036675,95,2656612,86.4,7210956,234410,245508,955634,1561381,139478,119,
05/15/2022,20,PR,7552350,215000.00,2662120.00,4675230.00,0,236477.00,265154.00,288152.00,1111200.00,7211483.00,6890810.00,6335952.00,1764378.00,152258.00,2732527.00,4326415.00,283,225804.00,241928.00,241741.00,259599.00,7220204.00,3037119.00,95,2864372.00,95,228286,95.0,2636086.00,95,695383.00,95,1940703,95.0,2656706.00,83.2,2509078.00,88.1,2304342.00,87.9,604564.00,89,139500.00,955658.00,1561429.00,119,139468,955605,1413902,103,139338,955261,1209676,67,23601,299310,281636,17,1554148,58.5,1553923,61.9,1431722,62.1,813401,68.4,421855,69.8,617095,925572,11459,22,3036665,95,2656609,86.4,7210952,234410,245508,955633,1561379,139478,119,
05/14/2022,19,PR,7552350,215000.00,2662120.00,4675230.00,0,236477.00,265154.00,288152.00,1111200.00,7211481.00,6890808.00,6335950.00,1764378.00,152258.00,2732527.00,4326413.00,283,225804.00,241928.00,241741.00,259599.00,7220188.00,3037105.00,95,2864358.00,95,228285,95.0,2636073.00,95,695377.00,95,1940696,95.0,2656705.00,83.2,2509077.00,88.1,2304341.00,87.9,604564.00,89,139500.00,955658.00,1561428.00,119,139468,955605,1413901,103,139338,955261,1209675,67,23601,299310,281636,17,1554148,58.5,1553923,61.9,1431722,62.1,813401,68.4,421855,69.8,617095,925572,11459,22,3036651,95,2656608,86.4,7210950,234410,245508,955633,1561378,139478,119,
05/13/2022,19,PR,7549450,215000.00,2662120.00,4672330.00,0,236386.00,265052.00,288041.00,1110780.00,7211476.00,6890803.00,6335945.00,1764378.00,152258.00,2732526.00,4326409.00,283,225804.00,241927.00,241741.00,259599.00,7220142.00,3037077.00,95,2864331.00,95,228284,95.0,2636047.00,95,695368.00,95,1940679,95.0,2656694.00,83.2,2509066.00,88.1,2304331.00,87.9,604560.00,89,139500.00,955654.00,1561421.00,119,139468,955601,1413894,103,139338,955257,1209669,67,23601,299308,281634,17,1554143,58.5,1553918,61.9,1431717,62.1,813398,68.4,421852,69.8,617095,925567,11459,22,3036623,95,2656597,86.4,7210945,234410,245414,955629,1561371,139478,119,
05/12/2022,19,PR,7546550,215000.00,2661020.00,4670530.00,0,236295.00,264950.00,287930.00,1110350.00,7211476.00,6890803.00,6335945.00,1764378.00,152258.00,2732526.00,4326409.00,283,225804.00,241927.00,241741.00,259599.00,7220100.00,3037053.00,95,2864307.00,95,228283,95.0,2636024.00,95,695356.00,95,1940668,95.0,2656684.00,83.2,2509056.00,88.1,2304321.00,87.9,604557.00,89,139500.00,955650.00,1561415.00,119,139468,955597,1413888,103,139338,955253,1209663,67,23601,299307,281632,17,1554140,58.5,1553915,61.9,1431714,62.1,813396,68.4,421851,69.8,617095,925564,11459,22,3036599,95,2656587,86.4,7210945,234410,245320,955625,1561365,139478,119,
05/11/2022,19,PR,7542950,215000.00,2657720.00,4670230.00,0,236183.00,264824.00,287793.00,1109820.00,7205301.00,6884828.00,6330094.00,1761235.00,152251.00,2729719.00,4323048.00,283,225610.00,241718.00,241518.00,259136.00,7213880.00,3036480.00,95,2863826.00,95,228271,95.0,2635555.00,95,695125.00,95,1940430,94.9,2656049.00,83.2,2508530.00,88.1,2303825.00,87.9,604305.00,88.9,139495.00,955417.00,1561018.00,119,139463,955364,1413600,103,139333,955020,1209405,67,23600,299166,281522,17,1552776,58.5,1552552,61.9,1430430,62.1,812568,68.4,421382,69.7,616498,924797,11459,22,3036027,95,2655953,86.3,7204770,234209,245203,955392,1560969,139473,119,
05/10/2022,19,PR,7540350,215000.00,2657620.00,4667730.00,0,236101.00,264732.00,287694.00,1109440.00,7200162.00,6879873.00,6325316.00,1758914.00,152240.00,2727777.00,4319862.00,283,225449.00,241544.00,241336.00,258795.00,7208728.00,3036066.00,95,2863498.00,95,228251,95.0,2635247.00,95,695000.00,95,1940247,94.9,2655226.00,83.1,2507800.00,88,2303143.00,87.9,604061.00,88.9,139490.00,955280.00,1560337.00,119,139458,955227,1413012,103,139328,954883,1208865,67,23599,299090,281355,17,1551528,58.4,1551304,61.9,1429283,62.1,811820,68.3,420983,69.7,616055,923994,11457,22,3035614,95,2655130,86.3,7199633,234042,245118,955255,1560288,139468,119,
05/09/2022,19,PR,7537650,214800.00,2655120.00,4667730.00,0,236017.00,264637.00,287591.00,1109040.00,7192325.00,6872309.00,6318041.00,1755416.00,152225.00,2724826.00,4314991.00,283,225204.00,241278.00,241058.00,258280.00,7200913.00,3035381.00,95,2862947.00,95,228234,95.0,2634713.00,95,694762.00,95,1939951,94.9,2654254.00,83.1,2506973.00,88,2302378.00,87.8,603725.00,88.8,139486.00,955055.00,1559595.00,118,139454,955002,1412415,102,139324,954658,1208330,66,23596,298943,281170,16,1549395,58.4,1549171,61.8,1427350,62,810715,68.3,420401,69.6,615345,922575,11453,22,3034929,95,2654158,86.3,7191796,233787,245030,955030,1559546,139464,118,
05/08/2022,19,PR,7537650,214800.00,2655120.00,4667730.00,0,236017.00,264637.00,287591.00,1109040.00,7192325.00,6872309.00,6318041.00,1755416.00,152225.00,2724826.00,4314991.00,283,225204.00,241278.00,241058.00,258280.00,7200862.00,3035338.00,95,2862904.00,95,228229,95.0,2634675.00,95,694746.00,95,1939929,94.9,2654248.00,83.1,2506968.00,88,2302373.00,87.8,603723.00,88.8,139486.00,955053.00,1559591.00,118,139454,955000,1412412,102,139324,954656,1208327,66,23596,298941,281170,16,1549393,58.4,1549169,61.8,1427348,62,810715,68.3,420401,69.6,615344,922574,11453,22,3034886,95,2654152,86.3,7191796,233787,245030,955028,1559542,139464,118,
