Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
02/02/2022,5,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,44526.00,42854.00,39778.00,4703.00,2346.00,35048.00,7082.00,50,206790.00,229842.00,239872.00,236094.00,44846.00,19808.00,92,18739.00,95,1480,95.0,17259.00,95,1837.00,92.2,15422,95.3,17249.00,80.1,16643.00,89.3,15337.00,92.5,1766.00,88.7,2351.00,12415.00,2459.00,24,2351,12415,1853,24,2351,12415,547,24,227,1506,31,2,10123,58.7,10123,60.8,9827,64.1,4241,72.4,1388,78.6,9733,390,0,0,19807,95,17248,84.7,44524,218544,215923,12415,2458,2351,24,
02/01/2022,5,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,44428.00,42756.00,39680.00,4693.00,2346.00,34954.00,7078.00,50,206335.00,229316.00,239281.00,235592.00,44747.00,19794.00,91.9,18725.00,95,1480,95.0,17245.00,95,1836.00,92.2,15409,95.3,17235.00,80,16629.00,89.2,15323.00,92.4,1766.00,88.7,2351.00,12403.00,2457.00,24,2351,12403,1851,24,2351,12403,545,24,227,1506,31,2,10052,58.3,10052,60.4,9756,63.7,4208,71.9,1378,78,9665,387,0,0,19793,95,17234,84.6,44426,218063,215923,12403,2456,2351,24,
01/31/2022,5,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,44072.00,42621.00,39640.00,4689.00,2346.00,34953.00,6723.00,50,204681.00,228592.00,239040.00,235392.00,44391.00,19554.00,90.8,18702.00,95,1472,94.5,17230.00,95,1834.00,92.1,15396,95.2,17224.00,80,16622.00,89.1,15318.00,92.4,1765.00,88.6,2351.00,12403.00,2446.00,24,2351,12403,1844,24,2351,12403,540,24,227,1506,30,2,9947,57.8,9947,59.8,9736,63.6,4200,71.8,1377,78,9665,282,0,0,19553,95,17223,84.5,44070,216316,215923,12403,2445,2351,24,
01/30/2022,5,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,44072.00,42621.00,39640.00,4689.00,2346.00,34953.00,6723.00,50,204681.00,228592.00,239040.00,235392.00,44391.00,19554.00,90.8,18702.00,95,1472,94.5,17230.00,95,1834.00,92.1,15396,95.2,17224.00,80,16622.00,89.1,15318.00,92.4,1765.00,88.6,2351.00,12403.00,2446.00,24,2351,12403,1844,24,2351,12403,540,24,227,1506,30,2,9947,57.8,9947,59.8,9736,63.6,4200,71.8,1377,78,9665,282,0,0,19553,95,17223,84.5,44070,216316,215923,12403,2445,2351,24,
01/29/2022,4,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,44072.00,42621.00,39640.00,4689.00,2346.00,34953.00,6723.00,50,204681.00,228592.00,239040.00,235392.00,44391.00,19554.00,90.8,18702.00,95,1472,94.5,17230.00,95,1834.00,92.1,15396,95.2,17224.00,80,16622.00,89.1,15318.00,92.4,1765.00,88.6,2351.00,12403.00,2446.00,24,2351,12403,1844,24,2351,12403,540,24,227,1506,30,2,9947,57.8,9947,59.8,9736,63.6,4200,71.8,1377,78,9665,282,0,0,19553,95,17223,84.5,44070,216316,215923,12403,2445,2351,24,
01/28/2022,4,RP,43990,3800.00,28500.00,11690.00,0,204301.00,235935.00,265272.00,2208330.00,43797.00,42346.00,39365.00,4649.00,2345.00,34689.00,6721.00,42,203404.00,227117.00,237382.00,233384.00,44116.00,19515.00,90.6,18663.00,95,1472,94.5,17191.00,95,1829.00,91.8,15362,95.0,17197.00,79.9,16595.00,89,15291.00,92.2,1762.00,88.5,2350.00,12382.00,2445.00,20,2350,12382,1843,20,2350,12382,539,20,227,1504,30,1,9737,56.6,9737,58.7,9526,62.3,4111,70.4,1345,76.3,9455,282,0,0,19514,95,17196,84.4,43795,214966,215923,12382,2444,2350,20,
01/27/2022,4,RP,40790,3800.00,28500.00,8490.00,0,189439.00,218772.00,245975.00,2047690.00,43797.00,42346.00,39365.00,4649.00,2345.00,34689.00,6721.00,42,203404.00,227117.00,237382.00,233384.00,44116.00,19515.00,90.6,18663.00,95,1472,94.5,17191.00,95,1829.00,91.8,15362,95.0,17197.00,79.9,16595.00,89,15291.00,92.2,1762.00,88.5,2350.00,12382.00,2445.00,20,2350,12382,1843,20,2350,12382,539,20,227,1504,30,1,9737,56.6,9737,58.7,9526,62.3,4111,70.4,1345,76.3,9455,282,0,0,19514,95,17196,84.4,43795,214966,200216,12382,2444,2350,20,
01/26/2022,4,RP,40790,3800.00,28500.00,8490.00,0,189439.00,218772.00,245975.00,2047690.00,43376.00,41925.00,38946.00,4617.00,2344.00,34282.00,6716.00,34,201449.00,224859.00,234855.00,231777.00,43694.00,19486.00,90.5,18634.00,95,1472,94.5,17162.00,95,1827.00,91.7,15335,94.8,17164.00,79.7,16562.00,88.8,15259.00,92,1760.00,88.4,2349.00,12356.00,2443.00,16,2349,12356,1841,16,2349,12356,538,16,227,1503,29,1,9377,54.6,,,9167,60.1,3984,68.4,1317,74.8,9098,279,0,0,19485,95,17163,84.2,43374,212899,200216,12356,2442,2349,16,
01/25/2022,4,RP,40790,3800.00,28500.00,8490.00,0,189439.00,218772.00,245975.00,2047690.00,43008.00,41557.00,38812.00,4594.00,2344.00,34268.00,6364.00,32,199740.00,222885.00,234047.00,230622.00,43326.00,19432.00,90.2,18580.00,95,1452,93.2,17128.00,95,1822.00,91.5,15306,94.6,17133.00,79.6,16531.00,88.7,15232.00,91.9,1756.00,88.2,2349.00,12356.00,2412.00,16,2349,12356,1810,16,2349,12356,511,16,227,1503,25,1,9096,53.1,,,9096,59.7,3963,68.1,1303,74.2,9084,12,0,0,19431,95,17132,84.1,43006,211093,200216,12356,2411,2349,16,
01/24/2022,4,RP,40790,3800.00,28500.00,8490.00,0,189439.00,218772.00,245975.00,2047690.00,42865.00,41414.00,38669.00,4580.00,2344.00,34129.00,6364.00,28,199076.00,222119.00,233185.00,229920.00,43183.00,19417.00,90.2,18565.00,95,1452,93.2,17113.00,95,1822.00,91.5,15291,94.5,17120.00,79.5,16518.00,88.6,15219.00,91.8,1756.00,88.2,2349.00,12345.00,2412.00,14,2349,12345,1810,14,2349,12345,511,14,227,1503,25,1,8981,52.5,,,8981,59,3933,67.6,1289,73.4,8969,12,0,0,19416,95,17119,84,42863,210391,200216,12345,2411,2349,14,
