Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,SC,10693375,455400.00,4472740.00,5765235.00,0,207690.00,241933.00,264849.00,1141210.00,7603110.00,7424430.00,7030693.00,2380578.00,232895.00,2954834.00,4413180.00,2201.00,147670.00,167975.00,174133.00,254058.00,7602696.00,3493448.00,67.9,3391854.00,76.7,200756,52.4,3191098.00,79,959777.00,95,2231321,73.7,2946335.00,57.2,2866288.00,64.8,2696459.00,66.8,822167.00,87.7,208871.00,1050562.00,1686497.00,405,208820,1050391,1606674,403,208225,1048343,1439496,395,31395,351442,439106,224,1186133,40.3,1185899,41.4,1157812,42.9,853109,54.8,526225,64,509491,653576,22552,514,3490748,71.9,2944821,60.6,7598803,156475,220198,1050485,1685110,208823,403,
05/16/2022,20,SC,10689675,455300.00,4469440.00,5764935.00,0,207618.00,241849.00,264758.00,1140810.00,7572889.00,7395260.00,7002599.00,2364130.00,232696.00,2941759.00,4396234.00,2200.00,147083.00,167315.00,173438.00,252302.00,7573854.00,3489670.00,67.8,3388487.00,76.7,200440,52.4,3188047.00,79,958763.00,95,2229284,73.6,2942218.00,57.1,2862589.00,64.8,2693064.00,66.7,820682.00,87.6,208707.00,1048963.00,1684146.00,402,208657,1048794,1604738,400,208063,1046752,1437857,392,31392,350686,438381,223,1180098,40.1,1179900,41.2,1152212,42.8,849162,54.6,523816,63.8,506832,650227,22527,512,3487060,71.8,2940769,60.6,7568754,155856,220122,1048886,1682823,208660,400,
05/15/2022,20,SC,10689675,455300.00,4469440.00,5764935.00,0,207618.00,241849.00,264758.00,1140810.00,7572884.00,7395255.00,7002594.00,2364129.00,232694.00,2941758.00,4396232.00,2200.00,147083.00,167314.00,173438.00,252302.00,7573724.00,3489587.00,67.8,3388411.00,76.7,200434,52.4,3187977.00,79,958723.00,95,2229254,73.6,2942190.00,57.1,2862563.00,64.8,2693039.00,66.7,820665.00,87.6,208704.00,1048953.00,1684131.00,402,208654,1048784,1604725,400,208060,1046742,1437845,392,31391,350679,438372,223,1180087,40.1,1179889,41.2,1152201,42.8,849155,54.6,523812,63.8,506830,650218,22527,512,3486978,71.8,2940741,60.6,7568749,155856,220122,1048876,1682808,208657,400,
05/14/2022,19,SC,10689675,455300.00,4469440.00,5764935.00,0,207618.00,241849.00,264758.00,1140810.00,7572668.00,7395040.00,7002386.00,2364061.00,232694.00,2941659.00,4396115.00,2200.00,147079.00,167310.00,173432.00,252295.00,7573343.00,3489403.00,67.8,3388234.00,76.7,200427,52.3,3187807.00,79,958680.00,95,2229127,73.6,2942106.00,57.1,2862485.00,64.8,2692967.00,66.7,820637.00,87.6,208702.00,1048934.00,1684068.00,402,208652,1048765,1604668,400,208058,1046723,1437794,392,31391,350669,438354,223,1180043,40.1,1179845,41.2,1152157,42.8,849120,54.6,523790,63.8,506801,650203,22527,512,3486796,71.8,2940657,60.6,7568533,155851,220122,1048857,1682745,208655,400,
05/13/2022,19,SC,10668175,455300.00,4455340.00,5757535.00,0,207201.00,241363.00,264225.00,1138520.00,7572355.00,7394728.00,7002081.00,2364030.00,232694.00,2941603.00,4395858.00,2200.00,147073.00,167303.00,173425.00,252292.00,7572800.00,3489218.00,67.8,3388053.00,76.7,200423,52.3,3187630.00,78.9,958629.00,95,2229001,73.6,2941841.00,57.1,2862225.00,64.8,2692719.00,66.7,820610.00,87.6,208700.00,1048908.00,1683832.00,401,208650,1048739,1604437,399,208056,1046697,1437575,391,31391,350663,438333,223,1179996,40.1,1179798,41.2,1152111,42.8,849084,54.6,523771,63.8,506775,650184,22526,511,3486611,71.8,2940392,60.5,7568220,155845,219679,1048831,1682509,208653,399,
05/12/2022,19,SC,10654875,455300.00,4451240.00,5748335.00,0,206942.00,241062.00,263896.00,1137100.00,7572102.00,7394484.00,7001850.00,2363979.00,232692.00,2941461.00,4395749.00,2200.00,147068.00,167297.00,173419.00,252286.00,7572274.00,3488987.00,67.8,3387829.00,76.6,200413,52.3,3187416.00,78.9,958563.00,95,2228853,73.6,2941683.00,57.1,2862078.00,64.8,2692581.00,66.7,820566.00,87.6,208692.00,1048848.00,1683744.00,399,208642,1048679,1604360,397,208048,1046637,1437506,390,31390,350644,438309,223,1179926,40.1,1179728,41.2,1152041,42.8,849036,54.6,523750,63.8,506735,650155,22526,510,3486380,71.8,2940236,60.5,7567967,155840,219405,1048771,1682423,208645,397,
05/11/2022,19,SC,10635675,455000.00,4440140.00,5740535.00,0,206570.00,240628.00,263420.00,1135050.00,7571929.00,7394314.00,7001686.00,2363933.00,232688.00,2941387.00,4395654.00,2200.00,147064.00,167293.00,173415.00,252281.00,7571846.00,3488832.00,67.8,3387680.00,76.6,200416,52.3,3187264.00,78.9,958495.00,95,2228769,73.6,2941514.00,57.1,2861916.00,64.7,2692420.00,66.7,820517.00,87.6,208667.00,1048791.00,1683657.00,399,208617,1048622,1604280,397,208023,1046580,1437427,390,31388,350623,438283,223,1179861,40.1,1179663,41.2,1151978,42.8,848988,54.6,523721,63.8,506696,650126,22529,510,3486226,71.8,2940067,60.5,7567794,155836,219010,1048714,1682336,208620,397,
05/10/2022,19,SC,10622075,455000.00,4433340.00,5733735.00,0,206305.00,240320.00,263083.00,1133600.00,7571863.00,7394248.00,7001621.00,2363907.00,232686.00,2941346.00,4395632.00,2199.00,147063.00,167292.00,173413.00,252278.00,7571613.00,3488718.00,67.8,3387572.00,76.6,200409,52.3,3187163.00,78.9,958453.00,95,2228710,73.6,2941454.00,57.1,2861857.00,64.7,2692363.00,66.7,820494.00,87.6,208661.00,1048773.00,1683621.00,399,208611,1048604,1604245,397,208017,1046562,1437394,390,31388,350613,438270,223,1179834,40.1,1179636,41.2,1151952,42.8,848971,54.6,523710,63.8,506680,650115,22529,510,3486112,71.8,2940007,60.5,7567728,155835,218730,1048696,1682300,208614,397,
05/09/2022,19,SC,10595275,454200.00,4421840.00,5719235.00,0,205785.00,239714.00,262420.00,1130740.00,7543476.00,7366855.00,6975134.00,2348283.00,232429.00,2929605.00,4379244.00,2198.00,146512.00,166672.00,172757.00,250611.00,7544513.00,3484861.00,67.7,3384215.00,76.6,200111,52.3,3184104.00,78.9,957498.00,95,2226606,73.5,2937466.00,57.1,2858320.00,64.7,2689071.00,66.6,819086.00,87.4,208473.00,1047355.00,1681239.00,399,208423,1047187,1602313,397,207833,1045154,1435694,390,31384,349962,437517,223,1174253,40,1174082,41.1,1146737,42.6,845267,54.5,521379,63.7,504291,646975,22478,509,3482323,71.7,2936085,60.5,7539477,155253,218178,1047278,1679984,208426,397,
05/08/2022,19,SC,10595275,454200.00,4421840.00,5719235.00,0,205785.00,239714.00,262420.00,1130740.00,7543474.00,7366853.00,6975132.00,2348283.00,232429.00,2929605.00,4379242.00,2198.00,146512.00,166672.00,172757.00,250611.00,7544428.00,3484803.00,67.7,3384158.00,76.6,200110,52.3,3184048.00,78.9,957472.00,95,2226576,73.5,2937449.00,57.1,2858304.00,64.7,2689057.00,66.6,819082.00,87.4,208472.00,1047351.00,1681227.00,399,208422,1047183,1602302,397,207832,1045150,1435685,390,31384,349961,437514,223,1174248,40,1174077,41.1,1146732,42.6,845263,54.5,521375,63.7,504291,646970,22478,509,3482265,71.7,2936068,60.5,7539475,155253,218178,1047274,1679972,208425,397,
