Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,SD,1914765,91500.00,763100.00,1060165.00,0,216441.00,259418.00,286831.00,1260780.00,1431595.00,1383539.00,1297011.00,423283.00,41628.00,558459.00,831367.00,141,161824.00,187446.00,194292.00,278712.00,1449222.00,680118.00,76.9,653599.00,88.6,44830,63.9,608769.00,91.2,178107.00,95,430662,89.7,546730.00,61.8,525522.00,71.2,490687.00,73.5,146457.00,95,39260.00,199432.00,307998.00,40,39255,199428,286799,40,39228,199356,252064,39,5052,72425,68957,23,229591,42,229554,43.7,222885,45.4,155645,56.9,94361,64.4,103188,123467,2922,14,680055,82.6,546719,66.4,1431528,173836,232518,199430,307993,39256,40,
05/16/2022,20,SD,1911965,91400.00,762700.00,1057865.00,0,216125.00,259038.00,286412.00,1258940.00,1430008.00,1381989.00,1295548.00,422350.00,41618.00,557952.00,830297.00,141,161645.00,187236.00,194073.00,278098.00,1447634.00,679857.00,76.8,653360.00,88.5,44808,63.8,608552.00,91.2,178006.00,95,430546,89.7,546433.00,61.8,525241.00,71.2,490429.00,73.5,146293.00,95,39252.00,199352.00,307789.00,40,39247,199348,286606,40,39220,199276,251894,39,5052,72375,68843,23,229327,42,229290,43.7,222662,45.4,155499,56.9,94275,64.4,103115,123277,2921,14,679794,82.6,546422,66.4,1429941,173644,232178,199350,307784,39248,40,
05/15/2022,20,SD,1911965,91400.00,762700.00,1057865.00,0,216125.00,259038.00,286412.00,1258940.00,1429957.00,1381946.00,1295509.00,422335.00,41618.00,557935.00,830263.00,141,161639.00,187230.00,194067.00,278088.00,1447570.00,679824.00,76.8,653334.00,88.5,44808,63.8,608526.00,91.2,177993.00,95,430533,89.7,546418.00,61.8,525227.00,71.2,490416.00,73.5,146288.00,95,39252.00,199346.00,307780.00,40,39247,199342,286598,40,39220,199270,251887,39,5052,72372,68841,23,229321,42,229284,43.7,222659,45.4,155497,56.9,94275,64.4,103114,123272,2921,14,679761,82.5,546407,66.4,1429890,173637,232178,199344,307775,39248,40,
05/14/2022,19,SD,1911965,91400.00,762700.00,1057865.00,0,216125.00,259038.00,286412.00,1258940.00,1429728.00,1381735.00,1295320.00,422232.00,41615.00,557826.00,830146.00,141,161613.00,187201.00,194039.00,278020.00,1447335.00,679757.00,76.8,653277.00,88.5,44799,63.8,608478.00,91.1,177969.00,95,430509,89.7,546374.00,61.8,525189.00,71.2,490381.00,73.5,146270.00,95,39251.00,199337.00,307746.00,40,39246,199333,286570,40,39219,199261,251862,39,5052,72366,68829,23,229274,42,229237,43.6,222621,45.4,155475,56.9,94259,64.4,103098,123243,2919,14,679694,82.5,546363,66.3,1429661,173610,232178,199335,307741,39247,40,
05/13/2022,19,SD,1909065,91400.00,762200.00,1055465.00,0,215797.00,258645.00,285977.00,1257030.00,1428499.00,1380532.00,1294185.00,421517.00,41605.00,557396.00,829357.00,141,161475.00,187038.00,193869.00,277549.00,1446089.00,679522.00,76.8,653055.00,88.5,44774,63.8,608281.00,91.1,177880.00,95,430401,89.7,546138.00,61.7,524969.00,71.1,490177.00,73.4,146153.00,95,39240.00,199272.00,307586.00,40,39235,199268,286426,40,39208,199197,251733,39,5048,72321,68761,23,229039,41.9,229002,43.6,222414,45.4,155320,56.8,94158,64.4,102995,123111,2919,14,679459,82.5,546127,66.3,1428432,173460,231826,199270,307581,39236,40,
05/12/2022,19,SD,1905165,91400.00,759600.00,1054165.00,0,215356.00,258117.00,285393.00,1254460.00,1427040.00,1379121.00,1292825.00,420646.00,41580.00,556714.00,828605.00,141,161310.00,186847.00,193665.00,276976.00,1444609.00,679241.00,76.8,652808.00,88.4,44750,63.8,608058.00,91.1,177776.00,95,430282,89.6,545826.00,61.7,524672.00,71.1,489894.00,73.4,146002.00,95,39215.00,199159.00,307412.00,40,39210,199155,286267,40,39183,199084,251588,39,5048,72258,68673,23,228788,41.9,228751,43.6,222177,45.4,155133,56.8,94039,64.4,102868,122989,2917,14,679179,82.5,545815,66.3,1426974,173283,231352,199157,307407,39211,40,
05/11/2022,19,SD,1902465,91400.00,757400.00,1053665.00,0,215051.00,257751.00,284989.00,1252690.00,1425784.00,1377888.00,1291633.00,419932.00,41554.00,556204.00,827885.00,141,161168.00,186680.00,193486.00,276506.00,1443296.00,679020.00,76.8,652597.00,88.4,44736,63.7,607861.00,91.1,177671.00,95,430190,89.6,545551.00,61.7,524406.00,71,489640.00,73.3,145854.00,95,39195.00,199076.00,307240.00,40,39190,199072,286104,40,39163,199001,251437,39,5044,72197,68590,23,228538,41.9,228501,43.6,221945,45.3,154980,56.8,93931,64.4,102772,122842,2910,14,678958,82.4,545540,66.2,1425718,173131,231024,199074,307235,39191,40,
05/10/2022,19,SD,1901165,91400.00,756700.00,1053065.00,0,214904.00,257575.00,284794.00,1251830.00,1424672.00,1376803.00,1290602.00,419307.00,41549.00,555804.00,827178.00,141,161042.00,186533.00,193332.00,276094.00,1442164.00,678821.00,76.7,652413.00,88.4,44715,63.7,607698.00,91,177612.00,95,430086,89.6,545341.00,61.6,524206.00,71,489463.00,73.3,145765.00,95,39190.00,199028.00,307083.00,40,39185,199024,285957,40,39158,198953,251313,39,5043,72168,68531,23,228321,41.9,228284,43.5,221740,45.3,154829,56.8,93835,64.4,102685,122713,2909,14,678759,82.4,545330,66.2,1424606,172996,230866,199026,307078,39186,40,
05/09/2022,19,SD,1898365,91300.00,756100.00,1050965.00,0,214587.00,257196.00,284375.00,1249990.00,1423074.00,1375258.00,1289126.00,418445.00,41536.00,555239.00,826158.00,141,160861.00,186324.00,193111.00,275527.00,1440564.00,678544.00,76.7,652165.00,88.4,44697,63.7,607468.00,91,177531.00,95,429937,89.6,545059.00,61.6,523946.00,71,489223.00,73.3,145640.00,95,39179.00,198933.00,306907.00,40,39174,198930,285802,40,39147,198859,251178,39,5043,72113,68461,23,228068,41.8,228033,43.5,221520,45.3,154703,56.7,93762,64.4,102600,122545,2909,14,678482,82.4,545048,66.2,1423008,172802,230526,198931,306902,39175,40,
05/08/2022,19,SD,1898365,91300.00,756100.00,1050965.00,0,214587.00,257196.00,284375.00,1249990.00,1423010.00,1375204.00,1289077.00,418430.00,41534.00,555223.00,826112.00,141,160854.00,186317.00,193103.00,275517.00,1440456.00,678487.00,76.7,652117.00,88.4,44691,63.7,607426.00,91,177518.00,95,429908,89.6,545029.00,61.6,523917.00,71,489194.00,73.3,145628.00,95,39177.00,198919.00,306893.00,40,39172,198916,285789,40,39145,198845,251165,39,5043,72107,68455,23,228053,41.8,228018,43.5,221505,45.3,154695,56.7,93758,64.4,102590,122540,2909,14,678425,82.4,545018,66.2,1422944,172794,230526,198917,306888,39173,40,
