Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,TN,13101330,516400.00,5017840.00,7567090.00,0,191844.00,224508.00,246306.00,1145830.00,10042322.00,9837947.00,9359644.00,2979489.00,266602.00,3846963.00,5864205.00,64552.00,147050.00,168586.00,175962.00,260583.00,9860553.00,4255129.00,62.3,4144783.00,71,234893,45.3,3909890.00,73.5,1057860.00,92.5,2852030,68.3,3731952.00,54.6,3640546.00,62.4,3440520.00,64.7,968972.00,84.7,236587.00,1325161.00,2157371.00,12833,236530,1325102,2066170,12744,236268,1324483,1867155,12614,36038,481373,445094,6467,1651222,44.2,1650722,45.3,1615145,46.9,1128065,59.1,667584,68.9,698099,926265,22462,4396,4254365,66.3,3731797,58.1,10041373,156394,204052,1325143,2157276,236547,12831,
05/16/2022,20,TN,13094830,516300.00,5014440.00,7564090.00,0,191748.00,224397.00,246184.00,1145260.00,10029687.00,9825645.00,9347911.00,2973592.00,266518.00,3842266.00,5856473.00,64430.00,146865.00,168375.00,175742.00,260067.00,9848189.00,4253756.00,62.3,4143560.00,71,234747,45.3,3908813.00,73.5,1057608.00,92.5,2851205,68.3,3730564.00,54.6,3639331.00,62.4,3439468.00,64.7,968676.00,84.7,236538.00,1324769.00,2156440.00,12817,236481,1324710,2065408,12732,236219,1324092,1866553,12604,36035,481235,444940,6466,1648983,44.2,1648487,45.3,1613135,46.9,1126876,59.1,667006,68.9,697390,924762,22450,4381,4252993,66.2,3730409,58.1,10028738,156197,203951,1324751,2156345,236498,12815,
05/15/2022,20,TN,13090030,516300.00,5014440.00,7559290.00,0,191678.00,224315.00,246094.00,1144840.00,10029684.00,9825642.00,9347908.00,2973592.00,266518.00,3842266.00,5856470.00,64430.00,146865.00,168375.00,175742.00,260067.00,9848089.00,4253704.00,62.3,4143510.00,71,234744,45.3,3908766.00,73.5,1057589.00,92.5,2851177,68.3,3730537.00,54.6,3639307.00,62.4,3439444.00,64.7,968668.00,84.7,236537.00,1324756.00,2156427.00,12817,236480,1324697,2065398,12732,236218,1324079,1866543,12604,36035,481229,444938,6466,1648976,44.2,1648480,45.3,1613128,46.9,1126871,59.1,667003,68.9,697384,924761,22450,4381,4252941,66.2,3730382,58.1,10028735,156197,203876,1324738,2156332,236497,12815,
05/14/2022,19,TN,13089430,516300.00,5014440.00,7558690.00,0,191669.00,224304.00,246082.00,1144790.00,10029625.00,9825583.00,9347849.00,2973559.00,266518.00,3842216.00,5856461.00,64430.00,146864.00,168374.00,175740.00,260064.00,9847911.00,4253620.00,62.3,4143429.00,71,234743,45.3,3908686.00,73.5,1057558.00,92.5,2851128,68.3,3730497.00,54.6,3639272.00,62.4,3439411.00,64.7,968654.00,84.7,236536.00,1324743.00,2156401.00,12817,236479,1324684,2065377,12732,236217,1324066,1866524,12604,36035,481220,444933,6466,1648960,44.2,1648464,45.3,1613112,46.9,1126857,59.1,666995,68.9,697374,924755,22450,4381,4252857,66.2,3730342,58.1,10028676,156196,203867,1324725,2156306,236496,12815,
05/13/2022,19,TN,13074730,516300.00,5009440.00,7548990.00,0,191454.00,224052.00,245806.00,1143500.00,10022842.00,9818924.00,9341423.00,2970045.00,266464.00,3839379.00,5852724.00,64275.00,146765.00,168260.00,175620.00,259757.00,9841348.00,4252887.00,62.3,4142747.00,71,234677,45.3,3908070.00,73.5,1057421.00,92.5,2850649,68.3,3729762.00,54.6,3638596.00,62.4,3438806.00,64.6,968483.00,84.7,236506.00,1324483.00,2155977.00,12796,236449,1324424,2065012,12711,236187,1323806,1866230,12583,36030,481115,444880,6458,1647827,44.2,1647333,45.3,1612069,46.9,1126182,59.1,666627,68.8,696950,924072,22441,4364,4252124,66.2,3729607,58.1,10021893,156090,203638,1324465,2155882,236466,12794,
05/12/2022,19,TN,13052630,516300.00,5003340.00,7532990.00,0,191130.00,223674.00,245391.00,1141570.00,10016257.00,9812475.00,9335152.00,2966605.00,266414.00,3836463.00,5849287.00,64093.00,146669.00,168149.00,175502.00,259456.00,9834976.00,4252164.00,62.3,4142091.00,71,234625,45.3,3907466.00,73.5,1057301.00,92.5,2850165,68.3,3729083.00,54.6,3637973.00,62.3,3438235.00,64.6,968313.00,84.7,236478.00,1324252.00,2155588.00,12765,236421,1324193,2064679,12680,236160,1323576,1865947,12552,36028,481020,444818,6447,1646695,44.2,1646204,45.3,1610999,46.9,1125514,59,666265,68.8,696458,923457,22436,4344,4251402,66.2,3728929,58.1,10015311,155988,203294,1324234,2155494,236438,12763,
05/11/2022,19,TN,13020530,515800.00,4984940.00,7519790.00,0,190660.00,223124.00,244787.00,1138760.00,10009467.00,9805891.00,9328795.00,2963014.00,266359.00,3833680.00,5845491.00,63937.00,146569.00,168037.00,175382.00,259142.00,9828417.00,4251399.00,62.3,4141438.00,71,234547,45.3,3906891.00,73.4,1057146.00,92.5,2849745,68.2,3728311.00,54.6,3637281.00,62.3,3437615.00,64.6,968122.00,84.7,236448.00,1324001.00,2155115.00,12747,236391,1323942,2064286,12662,236130,1323326,1865625,12534,36025,480921,444735,6441,1645558,44.1,1645071,45.2,1609924,46.8,1124869,59,665918,68.8,696017,922783,22422,4336,4250639,66.2,3728157,58.1,10008525,155882,202794,1323983,2155021,236408,12745,
05/10/2022,19,TN,13012230,515700.00,4979640.00,7516890.00,0,190539.00,222981.00,244631.00,1138040.00,10004562.00,9801149.00,9324257.00,2960522.00,266312.00,3831521.00,5842934.00,63795.00,146497.00,167955.00,175297.00,258924.00,9823673.00,4250824.00,62.2,4140945.00,71,234488,45.3,3906457.00,73.4,1057040.00,92.4,2849417,68.2,3727772.00,54.6,3636820.00,62.3,3437220.00,64.6,967991.00,84.7,236413.00,1323845.00,2154787.00,12727,236356,1323786,2064036,12642,236096,1323171,1865438,12515,36022,480848,444686,6435,1644644,44.1,1644158,45.2,1609084,46.8,1124338,59,665617,68.8,695598,922316,22412,4318,4250064,66.2,3727618,58.1,10003620,155806,202665,1323827,2154693,236373,12725,
05/09/2022,19,TN,13002230,515500.00,4975940.00,7510790.00,0,190392.00,222810.00,244443.00,1137160.00,9993031.00,9789951.00,9313543.00,2955157.00,266217.00,3827225.00,5835933.00,63656.00,146329.00,167763.00,175095.00,258455.00,9812340.00,4249560.00,62.2,4139809.00,70.9,234372,45.2,3905437.00,73.4,1056854.00,92.4,2848583,68.2,3726308.00,54.6,3635535.00,62.3,3436102.00,64.6,967724.00,84.6,236350.00,1323446.00,2153810.00,12702,236293,1323387,2063238,12617,236033,1322772,1864807,12490,36017,480727,444549,6431,1642440,44.1,1641958,45.2,1607074,46.8,1123101,58.9,664964,68.7,694850,920899,22391,4300,4248801,66.2,3726154,58,9992090,155626,202509,1323428,2153716,236310,12700,
05/08/2022,19,TN,13002230,515500.00,4975940.00,7510790.00,0,190392.00,222810.00,244443.00,1137160.00,9993031.00,9789951.00,9313543.00,2955157.00,266217.00,3827225.00,5835933.00,63656.00,146329.00,167763.00,175095.00,258455.00,9812271.00,4249518.00,62.2,4139769.00,70.9,234370,45.2,3905399.00,73.4,1056840.00,92.4,2848559,68.2,3726290.00,54.6,3635518.00,62.3,3436086.00,64.6,967716.00,84.6,236349.00,1323442.00,2153797.00,12702,236292,1323383,2063226,12617,236032,1322768,1864796,12490,36017,480724,444544,6431,1642435,44.1,1641953,45.2,1607069,46.8,1123097,58.9,664962,68.7,694850,920895,22390,4300,4248759,66.2,3726136,58,9992090,155626,202509,1323424,2153703,236309,12700,
