Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,TX,62527635,2634600.00,22499480.00,37393555.00,0,215643.00,259439.00,289532.00,1674450.00,47197453.00,45330325.00,41647106.00,9904988.00,1574783.00,17275805.00,28341659.00,5206.00,162773.00,188084.00,192846.00,265249.00,45844434.00,21311119.00,73.5,20250993.00,84,1855477,73.7,18395516.00,85.2,3689294.00,95,14706222,83.1,17891712.00,61.7,17174985.00,71.3,15714009.00,72.8,3273036.00,87.6,1365580.00,6128040.00,10396884.00,1208,1365104,6127175,9681543,1163,1363465,6122512,8226916,1116,179779,1551909,1540954,394,6875537,38.4,6873337,40,6622945,42.1,4070669,56,2139492,65.4,2990784,3782988,101518,247,21304881,78.9,17890229,66.2,47189831,174745,231541,6127517,10396217,1365288,1207,
05/16/2022,20,TX,62508735,2634500.00,22490980.00,37383255.00,0,215578.00,259360.00,289445.00,1673940.00,47171723.00,45306831.00,41625603.00,9898038.00,1574459.00,17268350.00,28323714.00,5200.00,162684.00,187986.00,192746.00,265062.00,45819367.00,21303465.00,73.5,20244640.00,84,1854715,73.7,18389925.00,85.2,3688632.00,95,14701293,83.0,17886428.00,61.7,17170518.00,71.2,15710108.00,72.7,3272395.00,87.6,1365331.00,6127255.00,10392638.00,1204,1364855,6126389,9678115,1159,1363216,6121727,8224053,1112,179755,1551695,1540552,393,6870620,38.4,6868439,40,6618622,42.1,4068179,55.9,2138319,65.3,2989038,3779865,101470,247,21297234,78.9,17884948,66.2,47164107,174650,231471,6126732,10391974,1365039,1203,
05/15/2022,20,TX,62508735,2634500.00,22490980.00,37383255.00,0,215578.00,259360.00,289445.00,1673940.00,47156696.00,45292852.00,41613099.00,9893801.00,1574400.00,17263355.00,28313743.00,5198.00,162632.00,187928.00,192688.00,264949.00,45805435.00,21300426.00,73.5,20242034.00,84,1854237,73.7,18387797.00,85.1,3688239.00,95,14699558,83.0,17884432.00,61.7,17169001.00,71.2,15708881.00,72.7,3272086.00,87.6,1365304.00,6126815.00,10391110.00,1203,1364828,6125949,9677066,1158,1363189,6121294,8223287,1111,179755,1551556,1540383,392,6867092,38.4,6864919,40,6615627,42.1,4066484,55.9,2137601,65.3,2987962,3777428,101455,247,21294197,78.9,17882952,66.2,47149082,174594,231471,6126292,10390446,1365012,1202,
05/14/2022,19,TX,62508735,2634500.00,22490980.00,37383255.00,0,215578.00,259360.00,289445.00,1673940.00,47133771.00,45271419.00,41593305.00,9885711.00,1574253.00,17255041.00,28299280.00,5197.00,162553.00,187840.00,192597.00,264732.00,45783589.00,21296374.00,73.4,20238663.00,84,1853690,73.6,18384973.00,85.1,3687725.00,95,14697248,83.0,17881393.00,61.7,17166572.00,71.2,15706858.00,72.7,3271561.00,87.6,1365202.00,6126158.00,10388830.00,1203,1364726,6125293,9675395,1158,1363087,6120638,8222022,1111,179750,1551368,1540051,392,6861806,38.4,6859643,40,6610953,42.1,4063598,55.9,2136179,65.3,2986146,3773987,101426,247,21290148,78.8,17879913,66.2,47126159,174509,231471,6125635,10388166,1364910,1202,
05/13/2022,19,TX,62431535,2634200.00,22467980.00,37329355.00,0,215312.00,259040.00,289087.00,1671870.00,47100045.00,45240221.00,41564460.00,9873337.00,1573911.00,17240832.00,28280117.00,5185.00,162437.00,187710.00,192463.00,264401.00,45750694.00,21288085.00,73.4,20231871.00,83.9,1852690,73.6,18379181.00,85.1,3686353.00,95,14692828,83.0,17875519.00,61.6,17161637.00,71.2,15702665.00,72.7,3270216.00,87.6,1364946.00,6124058.00,10385316.00,1199,1364470,6123194,9672819,1154,1362831,6118545,8220182,1107,179727,1550543,1539556,390,6854863,38.3,6852717,39.9,6604599,42.1,4059713,55.9,2134163,65.3,2983500,3769742,101376,245,21281862,78.8,17874043,66.2,47092440,174384,231185,6123535,10384656,1364654,1198,
05/12/2022,19,TX,62359535,2634200.00,22444980.00,37280355.00,0,215063.00,258741.00,288754.00,1669940.00,47067110.00,45209234.00,41535573.00,9862615.00,1573336.00,17230533.00,28258070.00,5171.00,162323.00,187582.00,192329.00,264114.00,45718112.00,21277556.00,73.4,20222501.00,83.9,1851890,73.6,18370611.00,85.1,3684998.00,95,14685613,82.9,17871703.00,61.6,17158496.00,71.2,15700093.00,72.7,3270118.00,87.6,1364496.00,6123968.00,10382044.00,1195,1364022,6123104,9670220,1150,1362383,6118459,8218148,1103,179700,1551066,1538962,390,6847667,38.3,6845538,39.9,6598048,42,4055812,55.8,2132027,65.2,2980759,3765340,101323,245,21271313,78.8,17870230,66.2,47059484,174262,230919,6123445,10381385,1364206,1194,
05/11/2022,19,TX,62267535,2633600.00,22391780.00,37242155.00,0,214746.00,258360.00,288328.00,1667480.00,47032815.00,45177036.00,41505511.00,9848878.00,1572951.00,17216216.00,28238480.00,5168.00,162205.00,187448.00,192190.00,263746.00,45684991.00,21269373.00,73.4,20215563.00,83.9,1851026,73.5,18364537.00,85,3683303.00,95,14681234,82.9,17865393.00,61.6,17152877.00,71.2,15695180.00,72.7,3268461.00,87.5,1364199.00,6121588.00,10378410.00,1196,1363725,6120726,9667275,1151,1362089,6116086,8215901,1104,179697,1549992,1538382,390,6840568,38.3,6838445,39.9,6591443,42,4051828,55.8,2129773,65.2,2978178,3760874,101271,245,21263145,78.7,17863922,66.2,47025210,174135,230578,6121066,10377752,1363909,1195,
05/10/2022,19,TX,62229635,2633600.00,22371680.00,37224355.00,0,214615.00,258202.00,288153.00,1666470.00,47001375.00,45147670.00,41477856.00,9837254.00,1572497.00,17204413.00,28219309.00,5156.00,162097.00,187326.00,192062.00,263435.00,45654735.00,21262575.00,73.3,20209962.00,83.9,1850458,73.5,18359504.00,85,3682450.00,95,14677054,82.9,17859063.00,61.6,17147352.00,71.1,15690280.00,72.7,3267492.00,87.5,1363810.00,6120217.00,10373846.00,1190,1363338,6119358,9663511,1145,1361704,6114726,8212752,1098,179667,1549604,1537831,390,6834289,38.3,6832176,39.8,6585649,42,4048227,55.7,2127796,65.1,2975813,3757020,101211,245,21256353,78.7,17857594,66.1,46993776,174019,230438,6119695,10373188,1363522,1189,
05/09/2022,19,TX,62183935,2633600.00,22347780.00,37202555.00,0,214458.00,258013.00,287941.00,1665240.00,46981822.00,45129616.00,41461460.00,9830893.00,1572141.00,17197484.00,28207043.00,5154.00,162029.00,187251.00,191986.00,263264.00,45635336.00,21257504.00,73.3,20205675.00,83.8,1849888,73.5,18355787.00,85,3681808.00,95,14673979,82.9,17855523.00,61.6,17144438.00,71.1,15687967.00,72.6,3266900.00,87.5,1363545.00,6119416.00,10371373.00,1189,1363073,6118556,9661665,1144,1361440,6113927,8211503,1097,179636,1549385,1537489,390,6829940,38.3,6827830,39.8,6581730,42,4045879,55.7,2126594,65.1,2974180,3754342,101173,245,21251289,78.7,17854058,66.1,46974230,173946,230268,6118893,10370720,1363257,1188,
05/08/2022,19,TX,62183935,2633600.00,22347780.00,37202555.00,0,214458.00,258013.00,287941.00,1665240.00,46970426.00,45119421.00,41452276.00,9828005.00,1572090.00,17194256.00,28198928.00,5152.00,161990.00,187209.00,191944.00,263187.00,45624546.00,21254667.00,73.3,20203392.00,83.8,1849621,73.5,18353771.00,85,3681491.00,95,14672280,82.9,17853690.00,61.6,17143143.00,71.1,15686954.00,72.6,3266704.00,87.5,1363505.00,6119129.00,10369868.00,1188,1363033,6118270,9660697,1143,1361400,6113642,8210815,1097,179632,1549305,1537377,390,6827348,38.2,6825247,39.8,6579520,41.9,4044644,55.7,2126048,65.1,2973406,3752544,101153,245,21248456,78.7,17852225,66.1,46962838,173904,230268,6118606,10369215,1363217,1187,
