Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,US,737439955,30827000.00,274243520.00,432369435.00,0,222115.00,260101.00,285542.00,1345890.00,582348105.00,563539893.00,527069385.00,149304518.00,18750748.00,219576781.00,343453572.00,567004.00,175401.00,198765.00,204085.00,272493.00,582348105.00,257942199.00,77.7,247609507.00,87.3,17514997,69.0,230094510.00,89.1,56842608.00,95,173251902,87.3,220682023.00,66.5,212324999.00,74.9,197323108.00,76.4,49720551.00,90.7,16981785.00,76769924.00,126770347.00,159967,16976681,76763355,118427644,157319,16949832,76680207,103542210,150859,2362369,23697920,23593170,67092,102360702,46.4,102326593,48.2,98540418,49.9,62273426,61.3,34436058,69.3,43933160,56875501,1518647,33394,257823868,82.6,220625571,70.7,582174820,186436,236158,76766723,126720410,16978698,159740,11943903
05/16/2022,20,US,737076255,30824600.00,274072120.00,432179535.00,0,222005.00,259973.00,285401.00,1345230.00,581841231.00,563049234.00,526598994.00,149070934.00,18747590.00,219366322.00,343161039.00,566280.00,175249.00,198592.00,203903.00,272067.00,581841231.00,257870633.00,77.7,247546181.00,87.3,17509582,69.0,230036599.00,89.1,56826188.00,95,173210411,87.3,220618615.00,66.4,212268762.00,74.9,197271438.00,76.4,49700979.00,90.7,16979415.00,76749512.00,126729900.00,159788,16974312,76742951,118394339,157160,16947474,76659842,103513409,150713,2362232,23688449,23583255,67043,102263829,46.4,102230246,48.2,98453927,49.9,62218631,61.3,34406280,69.2,43897427,56815064,1518055,33283,257752967,82.5,220562547,70.6,581669006,186274,236042,76746312,126680345,16976328,159562,11673473
05/15/2022,20,US,736970055,30824600.00,274072120.00,432073335.00,0,221973.00,259936.00,285360.00,1345030.00,581670838.00,562884709.00,526442078.00,148997668.00,18746828.00,219297720.00,343060118.00,566172.00,175197.00,198534.00,203842.00,271933.00,581670838.00,257846006.00,77.7,247524314.00,87.3,17507543,69.0,230016771.00,89.1,56820174.00,95,173196597,87.3,220597701.00,66.4,212250632.00,74.9,197254856.00,76.4,49694825.00,90.7,16978850.00,76742853.00,126716244.00,159754,16973747,76736292,118383467,157126,16946912,76653200,103504065,150679,2362200,23685554,23580035,67036,102232228,46.3,102198949,48.2,98426526,49.9,62202512,61.3,34398595,69.2,43886687,56794383,1517894,33264,257728664,82.5,220541896,70.6,581499200,186220,236008,76739653,126666952,16975763,159528,11581360
05/14/2022,19,US,736964755,30824600.00,274071620.00,432068535.00,0,221971.00,259934.00,285358.00,1345020.00,581376728.00,562601165.00,526169398.00,148861325.00,18745199.00,219173929.00,342891792.00,565808.00,175109.00,198434.00,203736.00,271684.00,581376728.00,257804117.00,77.6,247487728.00,87.3,17504492,68.9,229983236.00,89.1,56809984.00,95,173173252,87.3,220561439.00,66.4,212219226.00,74.9,197225854.00,76.4,49683796.00,90.7,16977669.00,76731150.00,126692976.00,159644,16972567,76724595,118365041,157023,16945741,76641518,103488012,150583,2362075,23680290,23574427,67004,102177938,46.3,102145010,48.1,98377732,49.9,62172553,61.3,34382474,69.2,43866098,56761046,1517569,33225,257687487,82.5,220506105,70.6,581206276,186126,236006,76727951,126644152,16974583,159419,11422984
05/13/2022,19,US,736029755,30817100.00,273733920.00,431478735.00,0,221690.00,259604.00,284996.00,1343320.00,580915871.00,562155251.00,525738228.00,148626956.00,18741939.00,218972615.00,342636566.00,564751.00,174970.00,198277.00,203569.00,271257.00,580915871.00,257738565.00,77.6,247429647.00,87.3,17499931,68.9,229929716.00,89,56792786.00,95,173136930,87.3,220502022.00,66.4,212166754.00,74.8,197177259.00,76.3,49664198.00,90.6,16975234.00,76711078.00,126656343.00,159367,16970132,76704532,118335330,156760,16943318,76621485,103462125,150331,2361880,23670660,23564747,66911,102094302,46.3,102061741,48.1,98300377,49.9,62123601,61.2,34354289,69.2,43832480,56711787,1516960,33075,257622607,82.5,220447145,70.6,580746558,185979,235707,76707882,126607972,16972148,159143,11176589
05/12/2022,19,US,734783455,30815600.00,273425420.00,430542435.00,0,221314.00,259164.00,284513.00,1341040.00,580514653.00,561767751.00,525363776.00,148411056.00,18740901.00,218799948.00,342409868.00,563936.00,174849.00,198140.00,203425.00,270863.00,580514653.00,257707346.00,77.6,247405149.00,87.3,17496231,68.9,229908918.00,89,56784703.00,95,173124215,87.3,220461007.00,66.4,212132210.00,74.8,197146154.00,76.3,49650295.00,90.6,16974990.00,76698467.00,126628319.00,159231,16969891,76691934,118313740,156645,16943098,76608932,103443886,150238,2362027,23664276,23557100,66892,102011446,46.3,101979300,48.1,98223673,49.8,62075948,61.2,34327550,69.1,43800003,56662212,1516331,32900,257592045,82.5,220406618,70.6,580346493,185851,235308,76695271,126580432,16971906,159009,10934882
05/11/2022,19,US,733497155,30794300.00,272476520.00,430226335.00,0,220927.00,258711.00,284015.00,1338690.00,580038981.00,561284193.00,524880018.00,148167258.00,18743825.00,218565392.00,342166103.00,563661.00,174706.00,197970.00,203237.00,270418.00,580038981.00,258284015.00,77.8,247970405.00,87.5,17542784,69.1,230427621.00,89.2,56925109.00,95,173502512,87.4,220287778.00,66.3,211962455.00,74.8,196990259.00,76.3,49616662.00,90.6,16984124.00,76624991.00,126519333.00,159330,16979010,76618459,118208228,156758,16952151,76535841,103351893,150374,2362778,23651224,23535815,66845,101451546,46.1,101420118,47.8,97696607,49.6,61791325,61,34183164,68.9,43566837,56341858,1510133,32718,258168905,82.7,220234024,70.5,579871625,185699,234896,76621798,126472084,16981033,159109,10616689
05/10/2022,19,US,732806655,30792000.00,272222220.00,429792435.00,0,220719.00,258467.00,283748.00,1337430.00,579685594.00,560941949.00,524550151.00,147997183.00,18738925.00,218431517.00,341952524.00,562628.00,174599.00,197849.00,203109.00,270107.00,579685594.00,258229583.00,77.8,247921135.00,87.4,17539535,69.1,230381600.00,89.2,56911068.00,95,173470532,87.4,220223617.00,66.3,211903950.00,74.7,196936284.00,76.3,49599393.00,90.5,16979996.00,76606314.00,126478278.00,159029,16974883,76599787,118172806,156474,16948033,76517197,103320949,150105,2362469,23643542,23526635,66747,101373482,46,101342342,47.8,97623189,49.6,61742065,60.9,34152909,68.9,43542136,56289289,1509507,32550,258114780,82.7,220170038,70.5,579518730,185586,234675,76603122,126431201,16976904,158811,10462306
05/09/2022,19,US,732209615,30786300.00,271985080.00,429438235.00,0,220539.00,258257.00,283517.00,1336340.00,579242327.00,560513915.00,524142041.00,147787210.00,18735773.00,218252430.00,341692309.00,561815.00,174466.00,197698.00,202951.00,269724.00,579242327.00,258165428.00,77.8,247864333.00,87.4,17534106,69.1,230330227.00,89.2,56894992.00,95,173435235,87.4,220163884.00,66.3,211851645.00,74.7,196889733.00,76.2,49581140.00,90.5,16977635.00,76587495.00,126439978.00,158776,16972522,76580973,118141907,156243,16945685,76498434,103295725,149889,2362302,23634910,23517246,66682,101286437,46,101255636,47.8,97544857,49.5,61692968,60.9,34125510,68.8,43509969,56235181,1508827,32460,258051082,82.6,220110637,70.5,579076252,185444,234483,76584304,126393230,16974543,158560,10232400
05/08/2022,19,US,732209015,30786300.00,271985080.00,429437635.00,0,220539.00,258256.00,283516.00,1336340.00,579030245.00,560308898.00,523945664.00,147692141.00,18734485.00,218165790.00,341568304.00,561666.00,174402.00,197626.00,202875.00,269550.00,579030245.00,258132925.00,77.7,247835168.00,87.4,17531729,69.1,230303439.00,89.2,56886523.00,95,173416916,87.4,220138061.00,66.3,211829183.00,74.7,196869178.00,76.2,49573126.00,90.5,16976682.00,76579237.00,126423407.00,158735,16971569,76572716,118128695,156203,16944736,76490188,103284401,149853,2362210,23631002,23513246,66668,101244437,46,101213949,47.8,97507383,49.5,61669669,60.9,34113536,68.8,43494837,56208635,1508532,32433,258018965,82.6,220085146,70.5,578864895,185376,234483,76576046,126376991,16973590,158519,10122189
