Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,VA,19972185,785300.00,7110900.00,12075985.00,0,233989.00,273330.00,299224.00,1469730.00,16666193.00,16010154.00,14881951.00,3902563.00,508390.00,5915845.00,10231480.00,10478.00,195257.00,219108.00,222962.00,287184.00,16750819.00,7337864.00,86,6987710.00,95,524992,95.0,6462718.00,95,1473285.00,95,4989433,95.0,6270670.00,73.5,5975106.00,81.8,5510585.00,82.6,1273552.00,93.7,456660.00,2029386.00,3780750.00,3874,455740,2029096,3486600,3670,454216,2023314,3029711,3344,73313,591879,607289,1071,2981293,47.5,2979285,49.9,2844828,51.6,1749834,64.1,937927,73.6,1232678,1703025,44735,855,7330380,91.3,6266046,78,16653788,207394,248718,2029244,3776377,456556,3869,
05/16/2022,20,VA,19962885,785300.00,7108700.00,12068885.00,0,233880.00,273203.00,299084.00,1469040.00,16659258.00,16003472.00,14875538.00,3899924.00,508320.00,5913104.00,10227356.00,10478.00,195176.00,219016.00,222865.00,286990.00,16743468.00,7336670.00,86,6986648.00,95,524939,95.0,6461709.00,95,1472928.00,95,4988781,95.0,6269702.00,73.5,5974246.00,81.8,5509783.00,82.5,1273247.00,93.7,456609.00,2029073.00,3780146.00,3874,455689,2028783,3486104,3670,454167,2023003,3029269,3344,73311,591728,607137,1071,2980060,47.5,2978073,49.8,2843784,51.6,1749289,64.1,937705,73.6,1232305,1702182,44718,855,7329215,91.3,6265095,78,16646901,207308,248602,2028931,3775790,456505,3869,
05/15/2022,20,VA,19949085,785300.00,7108700.00,12055085.00,0,233718.00,273014.00,298877.00,1468030.00,16647811.00,15992361.00,14864813.00,3894970.00,508263.00,5908238.00,10220834.00,10476.00,195042.00,218864.00,222705.00,286625.00,16732064.00,7335425.00,85.9,6985549.00,95,524854,95.0,6460695.00,95,1472594.00,95,4988101,95.0,6268376.00,73.4,5973058.00,81.7,5508663.00,82.5,1272811.00,93.7,456569.00,2028586.00,3779348.00,3873,455649,2028296,3485444,3669,454127,2022517,3028676,3343,73311,591539,606890,1071,2978200,47.5,2976256,49.8,2842208,51.6,1748380,64,937293,73.6,1231704,1700933,44708,855,7328008,91.3,6263803,78,16635530,207166,248431,2028444,3775026,456465,3868,
05/14/2022,19,VA,19948385,785300.00,7108300.00,12054785.00,0,233710.00,273005.00,298867.00,1467970.00,16634518.00,15979635.00,14852411.00,3888354.00,508183.00,5902602.00,10213285.00,10448.00,194886.00,218690.00,222519.00,286139.00,16718914.00,7333828.00,85.9,6984226.00,95,524766,95.0,6459460.00,95,1472173.00,95,4987287,95.0,6266753.00,73.4,5971702.00,81.7,5507377.00,82.5,1272247.00,93.6,456529.00,2028097.00,3778264.00,3863,455609,2027808,3484624,3661,454087,2022030,3027923,3337,73310,591291,606575,1071,2976249,47.5,2974328,49.8,2840437,51.6,1747256,64,936708,73.6,1231049,1699656,44691,853,7326487,91.2,6262242,78,16622378,207002,248422,2027955,3774004,456425,3858,
05/13/2022,19,VA,19930285,784600.00,7104400.00,12041285.00,0,233498.00,272757.00,298596.00,1466640.00,16621143.00,15966831.00,14839986.00,3881530.00,508095.00,5897187.00,10205434.00,10427.00,194729.00,218515.00,222333.00,285636.00,16705372.00,7331872.00,85.9,6982539.00,95,524643,94.9,6457896.00,95,1471610.00,95,4986286,94.9,6264974.00,73.4,5970188.00,81.7,5505938.00,82.5,1271595.00,93.6,456479.00,2027521.00,3777118.00,3856,455559,2027233,3483742,3654,454037,2021456,3027115,3330,73306,590969,606249,1071,2974204,47.5,2972308,49.8,2838592,51.6,1746117,64,936092,73.6,1230347,1698336,44669,852,7324592,91.2,6260517,78,16609124,206837,248197,2027379,3772912,456375,3851,
05/12/2022,19,VA,19876885,784600.00,7088700.00,12003585.00,0,232873.00,272026.00,297796.00,1462710.00,16608124.00,15954310.00,14827837.00,3874742.00,508016.00,5892010.00,10197696.00,10402.00,194577.00,218344.00,222151.00,285137.00,16692341.00,7330149.00,85.9,6981090.00,95,524520,94.9,6456570.00,95,1471153.00,95,4985417,94.9,6263342.00,73.4,5968743.00,81.7,5504574.00,82.5,1270977.00,93.5,456422.00,2026998.00,3776073.00,3849,455502,2026710,3482882,3649,453981,2020935,3026331,3327,73302,590708,605897,1070,2972023,47.5,2970149,49.8,2836589,51.5,1744814,64,935349,73.6,1229607,1696911,44657,848,7322927,91.2,6258941,77.9,16596223,206677,247532,2026856,3771923,456318,3844,
05/11/2022,19,VA,19846185,783700.00,7060600.00,12001885.00,0,232513.00,271606.00,297336.00,1460450.00,16595742.00,15942380.00,14816235.00,3868455.00,507922.00,5887097.00,10190334.00,10389.00,194432.00,218180.00,221977.00,284674.00,16679637.00,7328607.00,85.9,6979813.00,95,524451,94.9,6455362.00,95,1470728.00,95,4984634,94.9,6261697.00,73.4,5967251.00,81.7,5503153.00,82.4,1270409.00,93.5,456371.00,2026422.00,3775062.00,3842,455451,2026135,3482022,3643,453930,2020362,3025539,3322,73295,590432,605613,1069,2969780,47.4,2967925,49.7,2834521,51.5,1743493,64,934583,73.6,1228859,1695437,44638,846,7321430,91.2,6257337,77.9,16583926,206524,247149,2026281,3770952,456267,3837,
05/10/2022,19,VA,19835585,783700.00,7052700.00,11999185.00,0,232389.00,271461.00,297177.00,1459670.00,16586719.00,15933676.00,14807847.00,3864085.00,507873.00,5883555.00,10184923.00,10368.00,194326.00,218061.00,221851.00,284353.00,16670443.00,7327378.00,85.8,6978761.00,95,524389,94.9,6454372.00,95,1470374.00,95,4983998,94.9,6260542.00,73.3,5966211.00,81.7,5502165.00,82.4,1270008.00,93.5,456342.00,2026074.00,3774293.00,3833,455422,2025788,3481365,3636,453901,2020018,3024931,3315,73292,590267,605381,1068,2968327,47.4,2966493,49.7,2833258,51.5,1742686,63.9,934153,73.6,1228406,1694452,44626,843,7320251,91.2,6256207,77.9,16574978,206412,247017,2025934,3770207,456238,3828,
05/09/2022,19,VA,19813785,783700.00,7050600.00,11979485.00,0,232133.00,271163.00,296850.00,1458070.00,16580203.00,15927372.00,14801816.00,3861280.00,507837.00,5880931.00,10181067.00,10368.00,194250.00,217975.00,221761.00,284146.00,16663593.00,7326007.00,85.8,6977496.00,95,524328,94.9,6453168.00,95,1469840.00,95,4983328,94.9,6259484.00,73.3,5965238.00,81.6,5501234.00,82.4,1269564.00,93.4,456314.00,2025697.00,3773641.00,3832,455394,2025411,3480798,3635,453873,2019643,3024404,3314,73292,590074,605131,1067,2967316,47.4,2965502,49.7,2832435,51.5,1742238,63.9,933975,73.6,1228116,1693741,44617,842,7318901,91.1,6255164,77.9,16568500,206331,246746,2025557,3769570,456210,3827,
05/08/2022,19,VA,19813785,783700.00,7050600.00,11979485.00,0,232133.00,271163.00,296850.00,1458070.00,16570968.00,15918498.00,14793287.00,3857414.00,507774.00,5876971.00,10175856.00,10367.00,194141.00,217854.00,221633.00,283862.00,16654441.00,7325077.00,85.8,6976717.00,95,524264,94.9,6452453.00,95,1469656.00,95,4982797,94.9,6258490.00,73.3,5964411.00,81.6,5500471.00,82.4,1269320.00,93.4,456278.00,2025371.00,3773010.00,3831,455358,2025085,3480334,3634,453837,2019317,3024003,3314,73290,589940,605023,1067,2965844,47.4,2964065,49.7,2831201,51.5,1741543,63.9,933691,73.6,1227636,1692765,44601,842,7318024,91.1,6254218,77.9,16559375,206218,246746,2025231,3768987,456174,3826,
