Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,WA,18102395,762200.00,6580900.00,10759295.00,0,237724.00,278459.00,304148.00,1496410.00,14640029.00,14129512.00,13211303.00,3528395.00,489140.00,5489966.00,8648370.00,12553.00,192255.00,217346.00,221970.00,291670.00,14762803.00,6167315.00,81,5894776.00,90.7,412557,75.5,5482219.00,92.1,1248092.00,95,4234127,91.3,5541032.00,72.8,5303713.00,81.6,4927326.00,82.8,1144476.00,94.6,453577.00,1904267.00,3178764.00,4424,453526,1904168,2941635,4384,453188,1903379,2566507,4252,59119,518232,565273,1852,2912571,52.6,2911190,54.9,2785415,56.5,1621398,69.1,884632,77.3,1258852,1614499,38154,1066,6165925,86.1,5540855,77.4,14638506,204494,252883,1904242,3178643,453549,4421,
05/16/2022,20,WA,18101495,762200.00,6580300.00,10758995.00,0,237712.00,278445.00,304133.00,1496330.00,14611413.00,14101646.00,13184201.00,3515086.00,488998.00,5477870.00,8632019.00,12526.00,191879.00,216918.00,221515.00,290569.00,14734447.00,6164898.00,81,5892707.00,90.6,412435,75.4,5480272.00,92.1,1247531.00,95,4232741,91.2,5539013.00,72.7,5302078.00,81.6,4925794.00,82.8,1143933.00,94.6,453480.00,1903742.00,3177376.00,4415,453429,1903643,2940631,4375,453091,1902854,2565606,4243,59111,518035,564937,1850,2908393,52.5,2907020,54.8,2781759,56.5,1619327,69.1,883593,77.2,1257487,1611720,38123,1063,6163517,86.1,5538836,77.4,14609898,204094,252870,1903717,3177255,453452,4412,
05/15/2022,20,WA,18100595,762200.00,6580300.00,10758095.00,0,237700.00,278431.00,304118.00,1496260.00,14611412.00,14101645.00,13184200.00,3515086.00,488998.00,5477870.00,8632018.00,12526.00,191879.00,216918.00,221515.00,290569.00,14734179.00,6164756.00,81,5892569.00,90.6,412435,75.4,5480134.00,92.1,1247471.00,95,4232663,91.2,5538970.00,72.7,5302036.00,81.6,4925752.00,82.8,1143911.00,94.6,453478.00,1903723.00,3177354.00,4415,453427,1903624,2940610,4375,453089,1902835,2565585,4243,59111,518021,564929,1850,2908352,52.5,2906979,54.8,2781718,56.5,1619295,69.1,883574,77.2,1257472,1611694,38123,1063,6163376,86.1,5538793,77.4,14609897,204094,252858,1903698,3177233,453450,4412,
05/14/2022,19,WA,18099995,762200.00,6580300.00,10757495.00,0,237692.00,278422.00,304108.00,1496210.00,14611269.00,14101504.00,13184061.00,3515003.00,488998.00,5477858.00,8631887.00,12526.00,191878.00,216915.00,221513.00,290563.00,14733741.00,6164571.00,81,5892386.00,90.6,412429,75.4,5479957.00,92.1,1247393.00,95,4232564,91.2,5538879.00,72.7,5301946.00,81.6,4925665.00,82.8,1143863.00,94.6,453477.00,1903689.00,3177298.00,4415,453426,1903590,2940555,4375,453088,1902801,2565533,4243,59111,517997,564905,1850,2908292,52.5,2906919,54.8,2781658,56.5,1619244,69.1,883540,77.2,1257459,1611648,38123,1062,6163191,86.1,5538702,77.4,14609754,204092,252849,1903664,3177177,453449,4412,
05/13/2022,19,WA,18079095,762200.00,6573700.00,10743195.00,0,237418.00,278100.00,303757.00,1494480.00,14598747.00,14089286.00,13172105.00,3508072.00,488925.00,5472671.00,8624641.00,12510.00,191713.00,216727.00,221312.00,289990.00,14721081.00,6163454.00,80.9,5891416.00,90.6,412366,75.4,5479050.00,92.1,1247067.00,95,4231983,91.2,5537819.00,72.7,5301045.00,81.5,4924820.00,82.7,1143505.00,94.5,453425.00,1903398.00,3176586.00,4410,453374,1903299,2940002,4370,453036,1902510,2565035,4239,59108,517862,564686,1849,2906572,52.5,2905207,54.8,2780077,56.5,1618240,69.1,882921,77.2,1256919,1610485,38109,1059,6162078,86.1,5537642,77.4,14597235,203917,252557,1903373,3176465,453397,4407,
05/12/2022,19,WA,18026295,762200.00,6572300.00,10691795.00,0,236724.00,277288.00,302870.00,1490120.00,14585930.00,14076860.00,13159997.00,3501025.00,488852.00,5467355.00,8617241.00,12482.00,191545.00,216536.00,221108.00,289407.00,14708102.00,6162337.00,80.9,5890473.00,90.6,412299,75.4,5478174.00,92,1246775.00,95,4231399,91.2,5536646.00,72.7,5300088.00,81.5,4923959.00,82.7,1143157.00,94.5,453372.00,1903093.00,3175781.00,4400,453321,1902994,2939413,4360,452983,1902205,2564542,4229,59106,517716,564489,1846,2904707,52.5,2903345,54.8,2778361,56.4,1617193,69,882313,77.2,1256232,1609332,38089,1054,6160967,86.1,5536469,77.3,14584424,203738,251820,1903068,3175660,453344,4397,
05/11/2022,19,WA,17986495,761200.00,6537500.00,10687795.00,0,236202.00,276676.00,302201.00,1486830.00,14572650.00,14063898.00,13147334.00,3493891.00,488778.00,5461812.00,8609588.00,12472.00,191370.00,216337.00,220896.00,288817.00,14694254.00,6161205.00,80.9,5889506.00,90.6,412245,75.4,5477261.00,92,1246462.00,95,4230799,91.2,5535274.00,72.7,5298856.00,81.5,4922783.00,82.7,1142719.00,94.5,453285.00,1902653.00,3174940.00,4396,453234,1902554,2938712,4356,452896,1901765,2563897,4225,59101,517552,564221,1845,2902407,52.4,2901046,54.7,2776227,56.4,1615915,69,881615,77.2,1255365,1607910,38082,1050,6159837,86.1,5535097,77.3,14571147,203553,251264,1902628,3174819,453257,4393,
05/10/2022,19,WA,17960795,761000.00,6528600.00,10671195.00,0,235864.00,276281.00,301769.00,1484700.00,14562392.00,14053892.00,13137588.00,3488458.00,488724.00,5457307.00,8603919.00,12442.00,191236.00,216183.00,220732.00,288368.00,14683733.00,6160195.00,80.9,5888621.00,90.6,412190,75.4,5476431.00,92,1246231.00,95,4230200,91.2,5534310.00,72.7,5298017.00,81.5,4921997.00,82.7,1142481.00,94.4,453201.00,1902359.00,3174361.00,4389,453150,1902260,2938258,4349,452812,1901472,2563495,4218,59098,517444,564095,1844,2900768,52.4,2899408,54.7,2774727,56.4,1615028,69,881140,77.1,1254775,1606879,38067,1047,6158830,86,5534133,77.3,14560894,203409,250905,1902334,3174240,453173,4386,
05/09/2022,19,WA,17955095,761000.00,6524000.00,10670095.00,0,235789.00,276193.00,301673.00,1484230.00,14533130.00,14025367.00,13109790.00,3474093.00,488541.00,5445071.00,8587097.00,12421.00,190851.00,215744.00,220265.00,287181.00,14654954.00,6158101.00,80.9,5886843.00,90.6,412075,75.4,5474768.00,92,1245691.00,95,4229077,91.2,5532359.00,72.7,5296458.00,81.5,4920551.00,82.7,1141944.00,94.4,453100.00,1901856.00,3173020.00,4383,453049,1901757,2937309,4343,452711,1900971,2562657,4212,59088,517237,563775,1844,2896830,52.4,2895481,54.7,2771234,56.3,1613020,68.9,880101,77.1,1253420,1604349,38018,1043,6156743,86,5532182,77.3,14531639,203001,250825,1901831,3172899,453072,4380,
05/08/2022,19,WA,17955095,761000.00,6524000.00,10670095.00,0,235789.00,276193.00,301673.00,1484230.00,14533130.00,14025367.00,13109790.00,3474093.00,488541.00,5445071.00,8587097.00,12421.00,190851.00,215744.00,220265.00,287181.00,14654627.00,6157927.00,80.9,5886670.00,90.6,412073,75.4,5474597.00,92,1245602.00,95,4228995,91.2,5532272.00,72.7,5296372.00,81.5,4920467.00,82.7,1141903.00,94.4,453094.00,1901816.00,3172979.00,4383,453043,1901717,2937269,4343,452705,1900931,2562619,4212,59088,517215,563756,1844,2896804,52.4,2895455,54.7,2771208,56.3,1613002,68.9,880093,77.1,1253408,1604335,38018,1043,6156569,86,5532095,77.3,14531639,203001,250825,1901791,3172858,453066,4380,
