Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,WI,11859445,452600.00,4439600.00,6967245.00,0,203685.00,237199.00,260313.00,1165840.00,10389715.00,10072451.00,9484242.00,3086792.00,335363.00,3970282.00,6081308.00,2762.00,178443.00,201457.00,208178.00,303447.00,10387442.00,4191367.00,72,4024892.00,80.5,266721,60.0,3758171.00,82.5,1046173.00,95,2711998,78.5,3826885.00,65.7,3678150.00,73.6,3436435.00,75.4,976768.00,95,300839.00,1340070.00,2185012.00,964,300807,1340022,2036366,955,300604,1339660,1795267,904,30717,466777,478929,345,2160745,56.5,2160338,58.7,2088525,60.8,1384891,72.4,793558,81.2,896032,1237202,27361,150,4190743,76.3,3826796,69.7,10389113,189170,215943,1340058,2184956,300823,959,
05/16/2022,20,WI,11840545,452600.00,4438300.00,6949645.00,0,203361.00,236821.00,259898.00,1163980.00,10374957.00,10058019.00,9470256.00,3078922.00,335328.00,3963933.00,6072941.00,2755.00,178189.00,201169.00,207871.00,302673.00,10372895.00,4190376.00,72,4024056.00,80.5,266634,60.0,3757422.00,82.5,1045940.00,95,2711482,78.5,3825795.00,65.7,3677223.00,73.5,3435597.00,75.4,976468.00,95,300817.00,1339734.00,2184281.00,963,300785,1339686,2035798,954,300582,1339324,1794788,903,30716,466624,478784,344,2158680,56.4,2158275,58.7,2086729,60.7,1383917,72.3,793085,81.2,895336,1235842,27354,148,4189755,76.3,3825706,69.7,10374357,188902,215599,1339722,2184225,300801,958,
05/15/2022,20,WI,11840545,452600.00,4438300.00,6949645.00,0,203361.00,236821.00,259898.00,1163980.00,10374879.00,10057941.00,9470179.00,3078879.00,335328.00,3963916.00,6072880.00,2755.00,178188.00,201167.00,207869.00,302669.00,10372767.00,4190336.00,72,4024016.00,80.5,266632,60.0,3757384.00,82.5,1045920.00,95,2711464,78.5,3825747.00,65.7,3677175.00,73.5,3435550.00,75.4,976440.00,95,300816.00,1339720.00,2184248.00,963,300784,1339672,2035765,954,300581,1339310,1794756,903,30716,466617,478763,344,2158664,56.4,2158259,58.7,2086713,60.7,1383905,72.3,793078,81.2,895329,1235833,27354,148,4189715,76.3,3825658,69.7,10374279,188900,215599,1339708,2184192,300800,958,
05/14/2022,19,WI,11840545,452600.00,4438300.00,6949645.00,0,203361.00,236821.00,259898.00,1163980.00,10374476.00,10057541.00,9469779.00,3078583.00,335328.00,3963743.00,6072650.00,2755.00,178181.00,201159.00,207860.00,302640.00,10372052.00,4190159.00,72,4023843.00,80.5,266628,60.0,3757215.00,82.5,1045838.00,95,2711377,78.5,3825601.00,65.7,3677032.00,73.5,3435408.00,75.4,976362.00,95,300809.00,1339676.00,2184154.00,962,300777,1339628,2035674,953,300574,1339266,1794666,902,30715,466593,478710,344,2158566,56.4,2158161,58.7,2086616,60.7,1383826,72.3,793019,81.2,895279,1235786,27354,147,4189539,76.3,3825512,69.7,10373876,188893,215599,1339664,2184098,300793,957,
05/13/2022,19,WI,11835945,452600.00,4437600.00,6945745.00,0,203282.00,236729.00,259797.00,1163530.00,10364410.00,10047648.00,9460119.00,3072188.00,335296.00,3959229.00,6067139.00,2746.00,178008.00,200961.00,207648.00,302011.00,10361889.00,4189427.00,72,4023186.00,80.5,266575,60.0,3756611.00,82.5,1045610.00,95,2711001,78.5,3824799.00,65.7,3676326.00,73.5,3434760.00,75.4,976063.00,95,300789.00,1339410.00,2183641.00,959,300757,1339362,2035257,950,300554,1339000,1794307,899,30712,466445,478563,343,2157134,56.4,2156729,58.7,2085313,60.7,1383035,72.3,792539,81.2,894721,1234923,27345,145,4188809,76.3,3824710,69.6,10363812,188710,215515,1339398,2183585,300773,954,
05/12/2022,19,WI,11811845,452600.00,4423800.00,6935445.00,0,202868.00,236247.00,259268.00,1161160.00,10354795.00,10038226.00,9450906.00,3066296.00,335261.00,3955143.00,6061651.00,2740.00,177843.00,200773.00,207446.00,301432.00,10352377.00,4188693.00,71.9,4022533.00,80.5,266528,60.0,3756005.00,82.4,1045404.00,95,2710601,78.5,3823981.00,65.7,3675614.00,73.5,3434112.00,75.4,975772.00,95,300755.00,1339171.00,2183097.00,958,300723,1339123,2034819,949,300520,1338761,1793933,898,30707,466325,478397,343,2155848,56.4,2155445,58.6,2084118,60.7,1382282,72.3,792101,81.2,894262,1234103,27339,144,4188077,76.3,3823892,69.6,10354198,188535,215076,1339159,2183041,300739,953,
05/11/2022,19,WI,11801245,452500.00,4414400.00,6934345.00,0,202686.00,236035.00,259036.00,1160120.00,10344072.00,10027684.00,9440616.00,3059658.00,335228.00,3950766.00,6055341.00,2737.00,177659.00,200562.00,207220.00,300779.00,10341631.00,4187929.00,71.9,4021839.00,80.4,266474,59.9,3755365.00,82.4,1045177.00,95,2710188,78.5,3823041.00,65.7,3674779.00,73.5,3433353.00,75.4,975436.00,95,300713.00,1338873.00,2182497.00,958,300681,1338825,2034324,949,300478,1338463,1793514,898,30704,466172,478217,343,2154311,56.4,2153909,58.6,2082697,60.7,1381412,72.2,791600,81.2,893642,1233195,27331,143,4187315,76.2,3822952,69.6,10343477,188339,214883,1338861,2182441,300697,953,
05/10/2022,19,WI,11797545,452500.00,4411400.00,6933645.00,0,202622.00,235961.00,258955.00,1159760.00,10336316.00,10020084.00,9433232.00,3054846.00,335194.00,3947619.00,6050783.00,2720.00,177526.00,200410.00,207058.00,300306.00,10333845.00,4187258.00,71.9,4021239.00,80.4,266431,59.9,3754808.00,82.4,1044963.00,95,2709845,78.5,3822354.00,65.6,3674171.00,73.5,3432801.00,75.3,975188.00,95,300675.00,1338672.00,2182055.00,952,300643,1338624,2033961,943,300440,1338262,1793207,892,30702,466067,478076,343,2153189,56.3,2152788,58.6,2081686,60.6,1380732,72.2,791210,81.1,893248,1232477,27324,140,4186645,76.2,3822265,69.6,10335722,188198,214816,1338660,2181999,300659,947,
05/09/2022,19,WI,11753545,452500.00,4409000.00,6892045.00,0,201867.00,235081.00,257989.00,1155430.00,10334809.00,10018605.00,9431829.00,3054229.00,335188.00,3947024.00,6049877.00,2720.00,177500.00,200380.00,207027.00,300246.00,10332210.00,4187038.00,71.9,4021039.00,80.4,266406,59.9,3754633.00,82.4,1044903.00,95,2709730,78.4,3822187.00,65.6,3674015.00,73.5,3432655.00,75.3,975148.00,95,300666.00,1338612.00,2181958.00,951,300634,1338564,2033875,942,300431,1338202,1793131,891,30702,466048,478056,342,2152928,56.3,2152527,58.6,2081465,60.6,1380617,72.2,791158,81.1,893156,1232309,27323,140,4186425,76.2,3822098,69.6,10334215,188171,214015,1338600,2181902,300650,946,
05/08/2022,19,WI,11753545,452500.00,4409000.00,6892045.00,0,201867.00,235081.00,257989.00,1155430.00,10331234.00,10015094.00,9428417.00,3052542.00,335180.00,3945482.00,6047854.00,2718.00,177438.00,200310.00,206952.00,300080.00,10328674.00,4186773.00,71.9,4020799.00,80.4,266382,59.9,3754417.00,82.4,1044843.00,95,2709574,78.4,3821900.00,65.6,3673763.00,73.5,3432416.00,75.3,975061.00,95,300659.00,1338528.00,2181763.00,950,300627,1338480,2033715,941,300424,1338118,1792984,890,30702,466010,478007,342,2152429,56.3,2152029,58.6,2081029,60.6,1380406,72.2,791075,81.1,892994,1231975,27320,140,4186161,76.2,3821812,69.6,10330641,188106,214015,1338516,2181708,300643,945,
